PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240329,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6900,8.0,kg,1.0,포기,1.0,포기,N,20240413070523
20240401,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6900,8.0,kg,1.0,포기,1.0,포기,N,20240416070514
20240402,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6900,8.0,kg,1.0,포기,1.0,포기,N,20240417070513
20240403,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6900,8.0,kg,1.0,포기,1.0,포기,N,20240418070530
20240404,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6900,8.0,kg,1.0,포기,1.0,포기,N,20240419070512
20240405,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6900,8.0,kg,1.0,포기,1.0,포기,N,20240420070512
20240412,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4970,8.0,kg,1.0,포기,1.0,포기,Y,20240427070548
20240415,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4970,8.0,kg,1.0,포기,1.0,포기,Y,20240430070532
20240416,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4970,8.0,kg,1.0,포기,1.0,포기,Y,20240501070528
20240417,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4970,8.0,kg,1.0,포기,1.0,포기,Y,20240502070559
20240418,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4970,8.0,kg,1.0,포기,1.0,포기,Y,20240503070523
20240419,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5950,8.0,kg,1.0,포기,1.0,포기,Y,20240504070522
20240422,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5950,8.0,kg,1.0,포기,1.0,포기,Y,20240507070525
20240423,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5950,8.0,kg,1.0,포기,1.0,포기,Y,20240508070624
20240424,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5950,8.0,kg,1.0,포기,1.0,포기,Y,20240509070535
20240425,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5950,8.0,kg,1.0,포기,1.0,포기,Y,20240510070557
20240426,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6960,8.0,kg,1.0,포기,1.0,포기,Y,20240511070530
20240429,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6960,8.0,kg,1.0,포기,1.0,포기,Y,20240514070607
20240430,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6960,8.0,kg,1.0,포기,1.0,포기,Y,20240515070520
20240502,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6960,8.0,kg,1.0,포기,1.0,포기,Y,20240517070526
20240503,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20240518070528
20240507,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20240522070536
20240508,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20240523070554
20240509,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20240524070546
20240510,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20240525070546
20240513,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,G,20240528070601
20240514,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,G,20240529070534
20240516,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,G,20240531070600
20240617,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2490,8.0,kg,1.0,포기,1.0,포기,Y,20240702070604
20240618,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240703070603
20240619,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240704070555
20240620,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240705070614
20240621,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240706070547
20240624,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240709070559
20240625,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240710070548
20240626,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240711070550
20240627,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240712070604
20240628,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240713070620
20240701,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240716070551
20240702,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240717070557
20240703,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240718070551
20240704,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240719070556
20240718,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2490,8.0,kg,1.0,포기,1.0,포기,N,20240802120654
20240719,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,2990,8.0,kg,1.0,포기,1.0,포기,N,20240805014641
20241115,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241202123051
20241118,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241203114550
20241119,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241204124556
20241120,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241205114603
20241121,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241209063105
20241122,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241209034714
20241125,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241210024617
20241126,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241211124610
20241127,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241212114550
20241128,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241213104553
20241129,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241216123040
20241202,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241217111607
20241203,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241218121554
20241204,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241219114626
20241205,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241224020109
20241209,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241224111605
20241210,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241226013055
20241211,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241226111605
20241212,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241227111549
20241213,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241230030114
20241216,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20241231114609
20241217,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20250102054558
20241218,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20250102104639
20250206,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6990,8.0,kg,1.0,포기,1.0,포기,N,20250221103144
20250207,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6990,8.0,kg,1.0,포기,1.0,포기,N,20250224014621
20250210,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6990,8.0,kg,1.0,포기,1.0,포기,N,20250225113137
20250211,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6990,8.0,kg,1.0,포기,1.0,포기,N,20250226033135
20250212,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6990,8.0,kg,1.0,포기,1.0,포기,N,20250227103149
20250213,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,6990,8.0,kg,1.0,포기,1.0,포기,N,20250228103139
20250214,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20250304051709
20250217,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20250304103147
20250218,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20250305113145
20250219,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20250306113153
20250220,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20250307033157
20250221,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20250310024653
20250224,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20250311113200
20250225,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,5960,8.0,kg,1.0,포기,1.0,포기,Y,20250312113227
20250226,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4960,8.0,kg,1.0,포기,1.0,포기,Y,20250313033205
20250227,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4960,8.0,kg,1.0,포기,1.0,포기,Y,20250314113156
20250228,53,210402,D-유통,21,부산,2100,부산,212,양배추,0,양배추,1,소매,4,상품,4960,8.0,kg,1.0,포기,1.0,포기,Y,20250317123223
