PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231204,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,13300,100.0,개,10.0,개,10.0,개,N,20240102062408
20231205,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,13300,100.0,개,10.0,개,10.0,개,N,20240102062408
20231205,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231206,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231206,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,13300,100.0,개,10.0,개,10.0,개,N,20240102062408
20231207,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231207,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,13300,100.0,개,10.0,개,10.0,개,N,20240102062408
20231208,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231208,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,9860,100.0,개,10.0,개,10.0,개,Y,20240102062408
20231211,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231211,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,9860,100.0,개,10.0,개,10.0,개,Y,20240102062408
20231212,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231212,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,9860,100.0,개,10.0,개,10.0,개,Y,20240102062408
20231213,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231213,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,9860,100.0,개,10.0,개,10.0,개,Y,20240102062408
20231214,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231214,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,9860,100.0,개,10.0,개,10.0,개,Y,20240102062408
20231215,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231215,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,9860,100.0,개,10.0,개,10.0,개,Y,20240102062408
20231218,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240102062408
20231218,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,9860,100.0,개,10.0,개,10.0,개,Y,20240102062408
20231219,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240103065948
20231219,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,9860,100.0,개,10.0,개,10.0,개,Y,20240103065948
20231220,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240104065906
20231220,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,9860,100.0,개,10.0,개,10.0,개,Y,20240104065906
20231221,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9860,10.0,kg,10.0,개,10.0,개,Y,20240105065912
20231221,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,9860,100.0,개,10.0,개,10.0,개,Y,20240105065912
20231222,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,13200,100.0,개,10.0,개,10.0,개,Y,20240106065856
20231222,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,13200,10.0,kg,10.0,개,10.0,개,Y,20240106065856
20231226,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,13200,10.0,kg,10.0,개,10.0,개,Y,20240110065931
20231226,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,13200,100.0,개,10.0,개,10.0,개,Y,20240110065931
20231227,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,13200,10.0,kg,10.0,개,10.0,개,Y,20240111065935
20231227,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,13200,100.0,개,10.0,개,10.0,개,Y,20240111065935
20231228,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,18330,10.0,kg,10.0,개,10.0,개,N,20240112065929
20231228,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,18330,100.0,개,10.0,개,10.0,개,N,20240112065929
20231229,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,18330,10.0,kg,10.0,개,10.0,개,N,20240113065914
20231229,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,18330,100.0,개,10.0,개,10.0,개,N,20240113065914
20240102,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,18330,10.0,kg,10.0,개,10.0,개,N,20240117065900
20240102,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,18330,100.0,개,10.0,개,10.0,개,N,20240117065900
20240103,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,19500,100.0,개,10.0,개,10.0,개,N,20240118065914
20240103,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,19500,10.0,kg,10.0,개,10.0,개,N,20240118065914
20240104,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,19500,10.0,kg,10.0,개,10.0,개,N,20240119065906
20240104,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,19500,100.0,개,10.0,개,10.0,개,N,20240119065906
20240105,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,17400,10.0,kg,10.0,개,10.0,개,Y,20240120065927
20240105,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17400,100.0,개,10.0,개,10.0,개,Y,20240120065927
20240108,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,17400,10.0,kg,10.0,개,10.0,개,Y,20240123065913
20240108,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17400,100.0,개,10.0,개,10.0,개,Y,20240123065913
20240109,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,17400,10.0,kg,10.0,개,10.0,개,Y,20240124065912
20240109,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17400,100.0,개,10.0,개,10.0,개,Y,20240124065912
20240110,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17400,100.0,개,10.0,개,10.0,개,Y,20240125065917
20240110,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,17400,10.0,kg,10.0,개,10.0,개,Y,20240125065917
20240111,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,17400,10.0,kg,10.0,개,10.0,개,Y,20240126065910
20240111,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17400,100.0,개,10.0,개,10.0,개,Y,20240126065910
20240115,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,19600,10.0,kg,10.0,개,10.0,개,Y,20240130065928
20240115,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17150,100.0,개,10.0,개,10.0,개,Y,20240130065928
20240116,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,19600,10.0,kg,10.0,개,10.0,개,Y,20240131065939
20240116,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17150,100.0,개,10.0,개,10.0,개,Y,20240131065939
20240117,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,19600,10.0,kg,10.0,개,10.0,개,Y,20240201065942
20240117,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17150,100.0,개,10.0,개,10.0,개,Y,20240201065942
20240118,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17150,100.0,개,10.0,개,10.0,개,Y,20240202065931
20240118,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,19600,10.0,kg,10.0,개,10.0,개,Y,20240202065931
20240119,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9800,10.0,kg,10.0,개,10.0,개,Y,20240203065943
20240119,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17550,100.0,개,10.0,개,10.0,개,Y,20240203065943
20240122,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,9800,10.0,kg,10.0,개,10.0,개,Y,20240206065935
20240122,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,17550,100.0,개,10.0,개,10.0,개,Y,20240206065935
20240123,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,19500,100.0,개,10.0,개,10.0,개,N,20240207065925
20240124,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,19500,100.0,개,10.0,개,10.0,개,N,20240208065918
20240125,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,22000,100.0,개,10.0,개,10.0,개,N,20240209065927
20240126,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,22000,100.0,개,10.0,개,10.0,개,N,20240210065928
20240129,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,22000,100.0,개,10.0,개,10.0,개,N,20240213065937
20240130,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,24500,100.0,개,10.0,개,10.0,개,N,20240214065934
20240131,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,24500,100.0,개,10.0,개,10.0,개,N,20240215065950
20240201,53,210402,D-유통,21,부산,2100,부산,223,오이,2,다다기계통,1,소매,4,상품,24500,100.0,개,10.0,개,10.0,개,N,20240216065942
20240202,53,210402,D-유통,21,부산,2100,부산,223,오이,1,가시계통,1,소매,4,상품,16330,10.0,kg,10.0,개,10.0,개,Y,20240217065957
