PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231212,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240102062408
20231213,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240102062408
20231214,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240102062408
20231215,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240102062408
20231218,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240102062408
20231219,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240103065948
20231220,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240104065906
20231221,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240105065912
20231222,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240106065856
20231226,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240110065931
20231227,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240111065935
20231228,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240112065929
20240409,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240424070521
20240411,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240426070525
20240412,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240427070548
20240415,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240430070532
20240416,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240501070528
20240417,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240502070559
20240418,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240503070523
20240419,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240504070522
20240422,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240507070525
20240423,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240508070624
20240424,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240509070535
20240425,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240510070557
20240426,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240511070530
20240429,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7900,12.0,kg,1.0,개,N,20240514070607
20240430,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7000,12.0,kg,1.0,개,N,20240515070520
20240502,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7000,12.0,kg,1.0,개,N,20240517070526
20240503,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7000,12.0,kg,1.0,개,N,20240518070528
20240507,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7000,12.0,kg,1.0,개,N,20240522070536
20240508,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7000,12.0,kg,1.0,개,N,20240523070554
20240509,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7000,12.0,kg,1.0,개,N,20240524070546
20240510,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7000,12.0,kg,1.0,개,N,20240525070546
20240513,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7000,12.0,kg,1.0,개,N,20240528070601
20240514,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7000,12.0,kg,1.0,개,N,20240529070534
20240516,53,210402,D-유통,21,부산,2100,부산,420,파인애플,2,수입,1,소매,4,상품,7000,12.0,kg,1.0,개,N,20240531070600
