PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231222,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,798,10.0,kg,100.0,g,100.0,g,N,20240106065856
20231226,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,798,10.0,kg,100.0,g,100.0,g,N,20240110065931
20231227,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,798,10.0,kg,100.0,g,100.0,g,N,20240111065935
20231228,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,798,10.0,kg,100.0,g,100.0,g,N,20240112065929
20231229,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,798,10.0,kg,100.0,g,100.0,g,N,20240113065914
20240102,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,798,10.0,kg,100.0,g,100.0,g,N,20240117065900
20240111,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,1650,10.0,kg,100.0,g,100.0,g,N,20240126065910
20240115,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,1650,10.0,kg,100.0,g,100.0,g,N,20240130065928
20240116,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,1650,10.0,kg,100.0,g,100.0,g,N,20240131065939
20240117,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,1650,10.0,kg,100.0,g,100.0,g,N,20240201065942
20240118,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,1650,10.0,kg,100.0,g,100.0,g,N,20240202065931
20240119,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,1480,10.0,kg,100.0,g,100.0,g,Y,20240203065943
20240122,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,1480,10.0,kg,100.0,g,100.0,g,Y,20240206065935
20240123,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,1650,10.0,kg,100.0,g,100.0,g,N,20240207065925
20240124,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,1650,10.0,kg,100.0,g,100.0,g,N,20240208065918
20240125,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240209065927
20240126,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240210065928
20240129,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240213065937
20240130,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240214065934
20240131,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240215065950
20240201,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240216065942
20240202,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240217065957
20240205,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240220065942
20240206,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240221112510
20240207,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240222065940
20240208,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240223065943
20240213,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240228065936
20240214,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240229065935
20240215,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240301070020
20240216,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240302065953
20240219,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240305065952
20240220,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240306065941
20240221,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240307065956
20240222,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240308065948
20240223,53,210402,D-유통,21,부산,2100,부산,255,피망,0,청,1,소매,4,상품,2480,10.0,kg,100.0,g,100.0,g,N,20240309065947
