PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,1990,1.0,kg,Y,20240102062408
20231205,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,1990,1.0,kg,Y,20240102062408
20231206,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,3990,1.0,kg,N,20240102062408
20231207,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,3490,1.0,kg,Y,20240102062408
20231208,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,3490,1.0,kg,Y,20240102062408
20231211,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,3490,1.0,kg,Y,20240102062408
20231212,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240102062408
20231213,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240102062408
20231214,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240102062408
20231215,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240102062408
20231218,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240102062408
20231219,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240103065948
20231220,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240104065906
20231221,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240105065912
20231222,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240106065856
20231226,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240110065931
20231227,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240111065935
20231228,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,6650,1.0,kg,N,20240112065929
20241120,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,N,20241205114603
20241121,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,N,20241209063105
20241122,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,2650,1.0,kg,Y,20241209034714
20241125,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,2650,1.0,kg,Y,20241210024617
20241126,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,2650,1.0,kg,Y,20241211124610
20241127,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,2480,1.0,kg,Y,20241212114550
20241128,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,2480,1.0,kg,Y,20241213104553
20241129,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,2480,1.0,kg,Y,20241216123040
20241202,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,2480,1.0,kg,Y,20241217111607
20241203,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,3980,1.0,kg,N,20241218121554
20241204,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,3980,1.0,kg,N,20241219114626
20241205,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,3480,1.0,kg,Y,20241224020109
20241209,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,3480,1.0,kg,Y,20241224111605
20241210,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,3480,1.0,kg,Y,20241226013055
20241211,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20241226111605
20241212,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20241227111549
20241213,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20241230030114
20241216,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20241231114609
20241217,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20250102054558
20241218,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20250102104639
20241219,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20250107010100
20241220,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20250106041607
20241223,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20250107110049
20241224,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20250108110121
20241226,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20250110110104
20241227,766,210404,H-유통,21,부산,2100,부산,216,갓,0,갓,1,소매,4,상품,4980,1.0,kg,N,20250113054627
