PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231207,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,36800,20.0,kg,N,20240102062408
20231208,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,36800,20.0,kg,N,20240102062408
20231211,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,36800,20.0,kg,N,20240102062408
20231212,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,36800,20.0,kg,N,20240102062408
20231213,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,36800,20.0,kg,N,20240102062408
20231214,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,36800,20.0,kg,N,20240102062408
20231215,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,36800,20.0,kg,N,20240102062408
20241031,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241115104625
20241101,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241118015923
20241104,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241119111557
20241105,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241120111630
20241106,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241121111556
20241107,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241122111543
20241108,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241125020105
20241111,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241126111557
20241112,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241127111600
20241113,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241128111608
20241114,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241129121603
20241115,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241202123051
20241118,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241203114550
20241119,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241204124556
20241120,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241205114603
20241121,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241209063105
20241122,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241209034714
20241125,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241210024617
20241126,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241211124610
20241127,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241212114550
20241128,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241213104553
20241129,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241216123040
20241202,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241217111607
20241203,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241218121554
20241204,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,35800,20.0,kg,N,20241219114626
20241205,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,39800,20.0,kg,Y,20241224020109
20241209,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,39800,20.0,kg,Y,20241224111605
20241210,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,39800,20.0,kg,Y,20241226013055
20241212,766,210404,H-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,39800,20.0,kg,N,20241227111549
