PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240509,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4500,1.0,kg,1.0,kg,N,20240524070546
20240509,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,27800,1.0,kg,100.0,g,N,20240524070546
20240510,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4500,1.0,kg,1.0,kg,N,20240525070546
20240510,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,27800,1.0,kg,100.0,g,N,20240525070546
20240522,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240606070544
20240522,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4500,1.0,kg,1.0,kg,N,20240606070544
20240523,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240607070559
20240523,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4500,1.0,kg,1.0,kg,N,20240607070559
20240524,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240608070554
20240524,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4500,1.0,kg,1.0,kg,N,20240608070554
20240527,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4500,1.0,kg,1.0,kg,N,20240611070557
20240527,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240611070557
20240528,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240612070550
20240528,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4500,1.0,kg,1.0,kg,N,20240612070550
20240529,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240613070605
20240530,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240614070543
20240531,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240615070558
20240603,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240618070553
20240603,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240618070553
20240604,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240619070544
20240604,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240619070544
20240607,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240622070550
20240607,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240622070550
20240610,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240625072132
20240610,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240625072132
20240611,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240626070553
20240611,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240626070553
20240612,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240627070548
20240612,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240627070548
20240613,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240628070549
20240613,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240628070549
20240614,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240629070612
20240614,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240629070612
20240617,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240702070604
20240617,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240702070604
20240618,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240703070603
20240618,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240703070603
20240619,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240704070555
20240619,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240704070555
20240620,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240705070614
20240620,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240705070614
20240621,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240706070547
20240621,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240706070547
20240624,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240709070559
20240624,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,4980,1.0,kg,1.0,kg,N,20240709070559
20240625,766,210404,H-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,2780,1.0,kg,100.0,g,N,20240710070548
