PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8500,1.0,kg,1.0,kg,N,20240102062408
20231205,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8500,1.0,kg,1.0,kg,N,20240102062408
20231206,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240102062408
20231207,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240102062408
20231208,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240102062408
20231211,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240102062408
20231212,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240102062408
20231213,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240102062408
20231214,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240102062408
20231215,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240102062408
20231218,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240102062408
20231219,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240103065948
20231220,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240104065906
20231221,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240105065912
20231222,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240106065856
20231226,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240110065931
20231227,50,210022,부전,21,부산,2100,부산,422,방울토마토,2,대추방울토마토,1,소매,4,상품,8250,1.0,kg,1.0,kg,N,20240111065935
