PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240222,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240308065948
20240223,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240309065947
20240226,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240312070022
20240227,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240313065944
20240228,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240314065945
20240229,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240318011344
20240304,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240319070511
20240305,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240320070501
20240306,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240321070453
20240328,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,4250,8.0,kg,1.0,포기,1.0,포기,N,20240412070542
20240329,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,4250,8.0,kg,1.0,포기,1.0,포기,N,20240413070523
20240401,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,4250,8.0,kg,1.0,포기,1.0,포기,N,20240416070514
20240402,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3750,8.0,kg,1.0,포기,1.0,포기,N,20240417070513
20240403,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3750,8.0,kg,1.0,포기,1.0,포기,N,20240418070530
20240404,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3690,8.0,kg,1.0,포기,1.0,포기,N,20240419070512
20240405,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3690,8.0,kg,1.0,포기,1.0,포기,N,20240420070512
20240408,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3690,8.0,kg,1.0,포기,1.0,포기,N,20240423070541
20240409,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3690,8.0,kg,1.0,포기,1.0,포기,N,20240424070521
20240418,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3910,8.0,kg,1.0,포기,1.0,포기,Y,20240503070523
20240419,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3910,8.0,kg,1.0,포기,1.0,포기,Y,20240504070522
20240422,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3910,8.0,kg,1.0,포기,1.0,포기,Y,20240507070525
20240423,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3910,8.0,kg,1.0,포기,1.0,포기,Y,20240508070624
20240424,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3910,8.0,kg,1.0,포기,1.0,포기,Y,20240509070535
20240613,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,3290,8.0,kg,1.0,포기,1.0,포기,N,20240628070549
20240827,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20240911120047
20240828,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,4990,8.0,kg,1.0,포기,1.0,포기,N,20240912110028
20241015,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,4490,8.0,kg,1.0,포기,1.0,포기,N,20241030110107
20241016,41,110402,A-유통,11,서울,1101,서울,212,양배추,0,양배추,1,소매,4,상품,4490,8.0,kg,1.0,포기,1.0,포기,N,20241031020130
