PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4580,1.0,kg,Y,20240102062408
20231205,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4580,1.0,kg,Y,20240102062408
20231206,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4580,1.0,kg,Y,20240102062408
20231207,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4580,1.0,kg,Y,20240102062408
20231208,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,9960,1.0,kg,N,20240102062408
20231211,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,9960,1.0,kg,N,20240102062408
20231212,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,9960,1.0,kg,N,20240102062408
20231213,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,5780,1.0,kg,N,20240102062408
20231214,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4580,1.0,kg,N,20240102062408
20231215,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,5780,1.0,kg,N,20240102062408
20231218,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,5780,1.0,kg,N,20240102062408
20231219,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,5980,1.0,kg,N,20240103065948
20231220,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,7380,1.0,kg,N,20240104065906
20231221,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,8380,1.0,kg,N,20240105065912
20231222,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,8380,1.0,kg,N,20240106065856
20231226,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,8380,1.0,kg,N,20240110065931
20231227,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,8380,1.0,kg,N,20240111065935
20231228,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,7380,1.0,kg,N,20240112065929
20231229,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,7380,1.0,kg,N,20240113065914
20240102,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,9900,1.0,kg,N,20240117065900
20240103,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,8080,1.0,kg,N,20240118065914
20240104,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,8860,1.0,kg,N,20240119065906
20241028,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3310,1.0,kg,N,20241112110049
20241029,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3310,1.0,kg,N,20241113110033
20241030,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3310,1.0,kg,N,20241114120046
20241031,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3310,1.0,kg,N,20241115104625
20241101,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3310,1.0,kg,N,20241118015923
20241104,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3380,1.0,kg,N,20241119111557
20241105,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3380,1.0,kg,N,20241120111630
20241106,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3680,1.0,kg,N,20241121111556
20241107,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2910,1.0,kg,N,20241122111543
20241108,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2910,1.0,kg,N,20241125020105
20241111,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2910,1.0,kg,N,20241126111557
20241112,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2910,1.0,kg,N,20241127111600
20241113,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2910,1.0,kg,N,20241128111608
20241114,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2910,1.0,kg,Y,20241129121603
20241115,45,110406,B-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2910,1.0,kg,Y,20241202123051
