PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240812,45,110406,B-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,N,20240827104705
20240813,45,110406,B-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,N,20240828114654
20240814,45,110406,B-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,N,20240829104636
20240816,45,110406,B-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240902123055
20240819,45,110406,B-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240903104602
20240820,45,110406,B-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240904024615
20240821,45,110406,B-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240905120057
20240822,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240906110101
20240823,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240909011534
20240826,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240910110037
20240827,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240911120047
20240828,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240912110028
20240829,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240913110049
20240830,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240919103028
20240902,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,20400,600,g,30.0,kg,600.0,g,Y,20240919073113
20240903,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,20400,600,g,30.0,kg,600.0,g,Y,20240919100018
20240904,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,20400,600,g,30.0,kg,600.0,g,Y,20240920121525
20240905,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,20400,600,g,30.0,kg,600.0,g,Y,20240920110108
20240906,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,20400,600,g,30.0,kg,600.0,g,Y,20240924020040
20240909,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240924110028
20240910,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240925110046
20240911,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240926120046
20240912,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240927120023
20240913,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20240930011540
20240919,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241004110042
20240920,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241007011552
20240923,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241008120111
20240924,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241010011535
20240925,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241010110045
20240926,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241011110038
20240927,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241014123600
20240930,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241016011602
20241002,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241017110043
20241004,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241021011538
20241007,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241023013040
20241008,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241023110036
20241010,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241025110049
20241011,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241028010101
20241014,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241029110052
20241015,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241030110107
20241016,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241031020130
20241017,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19800,600,g,30.0,kg,600.0,g,Y,20241101110041
20241018,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19800,600,g,30.0,kg,600.0,g,Y,20241104024545
20241021,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19800,600,g,30.0,kg,600.0,g,Y,20241105110052
20241022,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19800,600,g,30.0,kg,600.0,g,Y,20241106030109
20241023,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19800,600,g,30.0,kg,600.0,g,Y,20241107110055
20241024,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19800,600,g,30.0,kg,600.0,g,Y,20241108110102
20241025,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19800,600,g,30.0,kg,600.0,g,Y,20241111090115
20241028,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19800,600,g,30.0,kg,600.0,g,Y,20241112110049
20241029,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19800,600,g,30.0,kg,600.0,g,Y,20241113110033
20241030,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19800,600,g,30.0,kg,600.0,g,Y,20241114120046
20241031,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241115104625
20241101,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241118015923
20241104,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241119111557
20241105,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241120111630
20241106,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241121111556
20241107,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241122111543
20241108,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,21600,600,g,30.0,kg,600.0,g,Y,20241125020105
20241111,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,17000,600,g,30.0,kg,600.0,g,Y,20241126111557
20241112,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,17000,600,g,30.0,kg,600.0,g,Y,20241127111600
20241113,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,17000,600,g,30.0,kg,600.0,g,Y,20241128111608
20241114,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,17000,600,g,30.0,kg,600.0,g,Y,20241129121603
20241115,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,17000,600,g,30.0,kg,600.0,g,Y,20241202123051
20241118,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,17000,600,g,30.0,kg,600.0,g,Y,20241203114550
20241210,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19600,600,g,30.0,kg,600.0,g,Y,20241226013055
20241211,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19600,600,g,30.0,kg,600.0,g,Y,20241226111605
20241212,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19600,600,g,30.0,kg,600.0,g,Y,20241227111549
20241213,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19600,600,g,30.0,kg,600.0,g,Y,20241230030114
20241216,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19600,600,g,30.0,kg,600.0,g,Y,20241231114609
20241217,45,110406,B-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,19600,600,g,30.0,kg,600.0,g,Y,20250102054558
