PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15800,15,kg,10.0,kg,10.0,개,N,20240102062408
20231205,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15800,15,kg,10.0,kg,10.0,개,N,20240102062408
20231206,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15800,15,kg,10.0,kg,10.0,개,N,20240102062408
20231207,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15800,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231208,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15800,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231214,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,14360,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231215,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,14360,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231218,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,14360,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231219,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,14360,15,kg,10.0,kg,10.0,개,Y,20240103065948
20231220,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,14360,15,kg,10.0,kg,10.0,개,Y,20240104065906
20231221,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,12760,15,kg,10.0,kg,10.0,개,Y,20240105065912
20231222,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,12760,15,kg,10.0,kg,10.0,개,Y,20240106065856
20231226,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240110065931
20231227,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240111065935
20231228,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240112065929
20231229,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240113065914
20240102,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240117065900
20240103,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240118065914
20240104,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240119065906
20240105,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240120065927
20240117,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,Y,20240201065942
20240118,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,Y,20240202065931
20240119,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,Y,20240203065943
20240122,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,Y,20240206065935
20240123,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,Y,20240207065925
20240124,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,Y,20240208065918
20240125,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,25600,15,kg,10.0,kg,10.0,개,N,20240209065927
20240126,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,25600,15,kg,10.0,kg,10.0,개,N,20240210065928
20240129,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,25600,15,kg,10.0,kg,10.0,개,N,20240213065937
20240130,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,25600,15,kg,10.0,kg,10.0,개,N,20240214065934
20240131,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240215065950
20240201,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240216065942
20240202,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240217065957
20240205,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240220065942
20240206,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240221112510
20240207,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240222065940
20240208,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240223065943
20240213,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240228065936
20240304,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,Y,20240319070511
20240305,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,Y,20240320070501
20240306,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,Y,20240321070453
20240307,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240322070436
20240308,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240323070536
20240311,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240326070457
20240312,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240327070513
20240313,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240328070517
20240314,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240329070517
20240315,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240330070516
20240318,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240402070508
20240319,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240403070538
20240320,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240404070521
20240321,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15600,15,kg,10.0,kg,10.0,개,Y,20240405070503
20240322,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240406070524
20240325,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,Y,20240409070549
20240326,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,Y,20240410070524
20240327,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,Y,20240411070522
20240328,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,Y,20240412070542
20240329,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17000,15,kg,10.0,kg,10.0,개,Y,20240413070523
20240401,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240416070514
20240402,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240417070513
20240403,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240418070530
20240404,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240419070512
20240405,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19600,15,kg,10.0,kg,10.0,개,N,20240420070512
20241007,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,N,20241023013040
20241008,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,N,20241023110036
20241010,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20241025110049
20241011,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20241028010101
20241014,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20241029110052
20241015,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20241030110107
20241016,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20241031020130
20241017,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20241101110041
20241018,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20241104024545
20241021,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20241105110052
20241022,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20241106030109
20241023,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,Y,20241107110055
20241024,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,Y,20241108110102
20241025,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,Y,20241111090115
20241028,45,110406,B-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,Y,20241112110049
