PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231213,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240102062408
20231214,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240102062408
20231215,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240102062408
20231218,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240102062408
20231219,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240103065948
20231220,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240104065906
20231221,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240105065912
20231222,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240106065856
20231226,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240110065931
20231227,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240111065935
20231228,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240112065929
20231229,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240113065914
20240207,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240222065940
20240208,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240223065943
20240226,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240312070022
20240227,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240313065944
20240228,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240314065945
20240229,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240318011344
20240304,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240319070511
20240305,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240320070501
20240306,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240321070453
20240307,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240322070436
20240315,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240330070516
20240320,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240404070521
20240321,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240405070503
20240322,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240406070524
20240325,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240409070549
20240326,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240410070524
20240327,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240411070522
20240329,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240413070523
20240408,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240423070541
20240409,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,37800,1.0,개,1.0,개,N,20240424070521
20240411,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27800,1.0,개,1.0,개,Y,20240426070525
20240412,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27800,1.0,개,1.0,개,Y,20240427070548
20240415,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27800,1.0,개,1.0,개,Y,20240430070532
20240416,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27800,1.0,개,1.0,개,Y,20240501070528
20240417,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27800,1.0,개,1.0,개,Y,20240502070559
20240418,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,Y,20240503070523
20240419,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,Y,20240504070522
20240422,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,Y,20240507070525
20240423,45,110406,B-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,Y,20240508070624
