PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231205,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,57600,20.0,kg,Y,20240102062408
20231206,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,57600,20.0,kg,Y,20240102062408
20231207,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20240102062408
20231208,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20240102062408
20231211,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20240102062408
20231212,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20240102062408
20231213,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20240102062408
20231214,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20240102062408
20231215,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20240102062408
20241031,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,111000,20.0,kg,N,20241115104625
20241101,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,111000,20.0,kg,N,20241118015923
20241104,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,111000,20.0,kg,N,20241119111557
20241105,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,111000,20.0,kg,N,20241120111630
20241106,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,111000,20.0,kg,N,20241121111556
20241107,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241122111543
20241108,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241125020105
20241111,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241126111557
20241112,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,46000,20.0,kg,Y,20241127111600
20241113,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,46000,20.0,kg,Y,20241128111608
20241114,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241129121603
20241115,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241202123051
20241118,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241203114550
20241119,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241204124556
20241120,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241205114603
20241121,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241209063105
20241122,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241209034714
20241125,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241210024617
20241126,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241211124610
20241127,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241212114550
20241128,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241213104553
20241129,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241216123040
20241202,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241217111607
20241203,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241218121554
20241204,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241219114626
20241205,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,63600,20.0,kg,Y,20241224020109
20241209,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241224111605
20241210,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241226013055
20241212,45,110406,B-유통,11,서울,1101,서울,266,절임배추,3,가을,1,소매,4,상품,67600,20.0,kg,Y,20241227111549
