PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240115,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,N,20240130065928
20240116,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,N,20240131065939
20240227,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240313065944
20240228,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240314065945
20240229,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240318011344
20240304,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240319070511
20240305,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240320070501
20240306,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240321070453
20240307,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240322070436
20240318,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240402070508
20240319,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240403070538
20240320,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240404070521
20240321,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240405070503
20240322,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240406070524
20240325,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240409070549
20240326,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240410070524
20240327,42,110403,C-유통,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240411070522
