PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,40830,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231205,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,49330,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231206,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,49330,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231207,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,49330,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231208,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,49330,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231211,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,49330,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231212,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,49330,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231213,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,49330,15,kg,15.0,kg,10.0,개,10.0,개,N,20240102062408
20231214,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,49330,15,kg,15.0,kg,10.0,개,10.0,개,N,20240102062408
20231215,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,49330,15,kg,15.0,kg,10.0,개,10.0,개,N,20240102062408
20231218,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,49330,15,kg,15.0,kg,10.0,개,10.0,개,N,20240102062408
20231227,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,42660,15,kg,15.0,kg,10.0,개,10.0,개,N,20240111065935
20231228,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,42660,15,kg,15.0,kg,10.0,개,10.0,개,N,20240112065929
20231229,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,42660,15,kg,15.0,kg,10.0,개,10.0,개,N,20240113065914
20240102,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,42600,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240117065900
20240103,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,32000,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240118065914
20240104,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,32000,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240119065906
20240105,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,32000,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240120065927
20240108,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,32000,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240123065913
20240110,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240125065917
20240111,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240126065910
20240115,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240130065928
20240116,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240131065939
20240117,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,31500,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240201065942
20240118,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,31500,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240202065931
20240119,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,31500,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240203065943
20240122,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,31500,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240206065935
20240123,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,31500,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240207065925
20240124,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,31500,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240208065918
20240125,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,31500,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240209065927
20240126,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,31500,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240210065928
20240129,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,31500,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240213065937
20240130,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,31500,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240214065934
20240131,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240215065950
20240201,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240216065942
20240202,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240217065957
20240205,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240220065942
20240206,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240221112510
20240207,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240222065940
20240208,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,29400,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240223065943
20240213,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,39490,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240228065936
20240214,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,39490,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240229065935
20240215,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,43600,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240301070020
20240216,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,43600,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240302065953
20240219,762,110409,I-유통,11,서울,1101,서울,412,배,1,신고,1,소매,4,상품,43600,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240305065952
