PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240115,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,5660,5.0,kg,1.0,개,N,20240130065928
20240116,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,5660,5.0,kg,1.0,개,N,20240131065939
20240117,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,5660,5.0,kg,1.0,개,N,20240201065942
20240118,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,5660,5.0,kg,1.0,개,N,20240202065931
20240305,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240320070501
20240306,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240321070453
20240307,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240322070436
20240308,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240323070536
20240311,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240326070457
20240312,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240327070513
20240313,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240328070517
20240314,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240329070517
20240517,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3390,5.0,kg,1.0,개,N,20240601070544
20240520,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3390,5.0,kg,1.0,개,Y,20240604020620
20240521,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240605070543
20240522,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240606070544
20240523,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,2990,5.0,kg,1.0,개,Y,20240607070559
20240628,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,4320,5.0,kg,1.0,개,N,20240713070620
20240715,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3490,5.0,kg,1.0,개,N,20240730080622
20240716,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3490,5.0,kg,1.0,개,N,20240731120707
20240717,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3490,5.0,kg,1.0,개,N,20240801120632
20240718,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3490,5.0,kg,1.0,개,N,20240802120654
20240719,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3990,5.0,kg,1.0,개,N,20240805014641
20240722,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3990,5.0,kg,1.0,개,N,20240806060616
20240903,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,5660,5.0,kg,1.0,개,N,20240919100018
20240904,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,5660,5.0,kg,1.0,개,N,20240920121525
20240905,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,5660,5.0,kg,1.0,개,N,20240920110108
20240906,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,6320,5.0,kg,1.0,개,N,20240924020040
20240909,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,6320,5.0,kg,1.0,개,N,20240924110028
20240910,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,6320,5.0,kg,1.0,개,N,20240925110046
20240911,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,6320,5.0,kg,1.0,개,N,20240926120046
20240912,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,6320,5.0,kg,1.0,개,N,20240927120023
20240913,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,6320,5.0,kg,1.0,개,N,20240930011540
20240919,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,6320,5.0,kg,1.0,개,N,20241004110042
20250214,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3320,5.0,kg,1.0,개,N,20250304051709
20250217,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3320,5.0,kg,1.0,개,N,20250304103147
20250218,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3320,5.0,kg,1.0,개,N,20250305113145
20250219,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3320,5.0,kg,1.0,개,N,20250306113153
20250220,768,110410,L-유통,11,서울,1101,서울,428,망고,0,수입,1,소매,4,상품,3320,5.0,kg,1.0,개,N,20250307033157
