PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240405,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3480,4.0,kg,1.0,kg,N,20240420070512
20240408,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3480,4.0,kg,1.0,kg,N,20240423070541
20240409,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3480,4.0,kg,1.0,kg,N,20240424070521
20240411,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3480,4.0,kg,1.0,kg,N,20240426070525
20240412,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3680,4.0,kg,1.0,kg,N,20240427070548
20240415,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3680,4.0,kg,1.0,kg,N,20240430070532
20240416,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3680,4.0,kg,1.0,kg,N,20240501070528
20240417,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,1980,4.0,kg,1.0,kg,Y,20240502070559
20240418,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3680,4.0,kg,1.0,kg,N,20240503070523
20240419,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240504070522
20240422,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240507070525
20240423,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240508070624
20240424,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240509070535
20240425,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240510070557
20240426,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240511070530
20240429,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240514070607
20240430,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240515070520
20240502,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240517070526
20240503,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240518070528
20240507,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240522070536
20240508,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240523070554
20240509,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3180,4.0,kg,1.0,kg,N,20240524070546
20240510,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2890,4.0,kg,1.0,kg,N,20240525070546
20240513,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2890,4.0,kg,1.0,kg,N,20240528070601
20240514,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2890,4.0,kg,1.0,kg,N,20240529070534
20240516,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2890,4.0,kg,1.0,kg,N,20240531070600
20240517,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2150,4.0,kg,1.0,kg,N,20240601070544
20240520,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2150,4.0,kg,1.0,kg,N,20240604020620
20240521,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2150,4.0,kg,1.0,kg,N,20240605070543
20240522,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2150,4.0,kg,1.0,kg,N,20240606070544
20240523,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2150,4.0,kg,1.0,kg,N,20240607070559
20240524,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2780,4.0,kg,1.0,kg,N,20240608070554
20240527,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2780,4.0,kg,1.0,kg,N,20240611070557
20240528,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2780,4.0,kg,1.0,kg,N,20240612070550
20240529,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2780,4.0,kg,1.0,kg,N,20240613070605
20240530,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2780,4.0,kg,1.0,kg,N,20240614070543
20240531,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2340,4.0,kg,1.0,kg,N,20240615070558
20240603,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2340,4.0,kg,1.0,kg,N,20240618070553
20240604,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2340,4.0,kg,1.0,kg,N,20240619070544
20240607,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2340,4.0,kg,1.0,kg,N,20240622070550
20240610,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2580,4.0,kg,1.0,kg,N,20240625072132
20240611,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2580,4.0,kg,1.0,kg,N,20240626070553
20240612,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2580,4.0,kg,1.0,kg,N,20240627070548
20240613,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2580,4.0,kg,1.0,kg,N,20240628070549
20240614,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2150,4.0,kg,1.0,kg,N,20240629070612
20240617,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2150,4.0,kg,1.0,kg,N,20240702070604
20240618,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2150,4.0,kg,1.0,kg,N,20240703070603
20240619,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2150,4.0,kg,1.0,kg,N,20240704070555
20240620,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2150,4.0,kg,1.0,kg,N,20240705070614
20240621,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,1980,4.0,kg,1.0,kg,N,20240706070547
20240624,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,1980,4.0,kg,1.0,kg,N,20240709070559
20240625,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,1980,4.0,kg,1.0,kg,N,20240710070548
20240626,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,1980,4.0,kg,1.0,kg,N,20240711070550
20240627,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,1980,4.0,kg,1.0,kg,N,20240712070604
20240628,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2180,4.0,kg,1.0,kg,N,20240713070620
20240701,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2180,4.0,kg,1.0,kg,N,20240716070551
20240702,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2180,4.0,kg,1.0,kg,N,20240717070557
20240703,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2180,4.0,kg,1.0,kg,N,20240718070551
20240704,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,2180,4.0,kg,1.0,kg,N,20240719070556
20240705,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3480,4.0,kg,1.0,kg,N,20240720070714
20240708,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3480,4.0,kg,1.0,kg,N,20240723120613
20240709,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3480,4.0,kg,1.0,kg,N,20240724070649
20240710,768,110410,L-유통,11,서울,1101,서울,215,얼갈이배추,0,얼갈이배추,1,소매,4,상품,3480,4.0,kg,1.0,kg,N,20240725070606
