PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231215,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240102062408
20231218,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240102062408
20231219,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240103065948
20231220,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240104065906
20231221,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240105065912
20231222,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240106065856
20231226,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240110065931
20231227,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240111065935
20231228,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240112065929
20231229,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240113065914
20240102,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240117065900
20240103,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240118065914
20240104,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240119065906
20240105,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240120065927
20240108,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240123065913
20240109,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240124065912
20240110,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3070,5.0,kg,100.0,g,N,20240125065917
20240111,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2450,5.0,kg,100.0,g,N,20240126065910
20240115,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2450,5.0,kg,100.0,g,N,20240130065928
20240116,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2450,5.0,kg,100.0,g,N,20240131065939
20240117,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2450,5.0,kg,100.0,g,N,20240201065942
20240118,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2450,5.0,kg,100.0,g,N,20240202065931
20240119,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2450,5.0,kg,100.0,g,N,20240203065943
20240122,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2450,5.0,kg,100.0,g,N,20240206065935
20240123,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2450,5.0,kg,100.0,g,N,20240207065925
20240124,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2450,5.0,kg,100.0,g,N,20240208065918
20240125,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2450,5.0,kg,100.0,g,N,20240209065927
20240126,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1990,5.0,kg,100.0,g,Y,20240210065928
20240129,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1990,5.0,kg,100.0,g,Y,20240213065937
20240130,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1990,5.0,kg,100.0,g,Y,20240214065934
20240131,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1990,5.0,kg,100.0,g,Y,20240215065950
20240201,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1990,5.0,kg,100.0,g,Y,20240216065942
20240202,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,Y,20240217065957
20240205,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1530,5.0,kg,100.0,g,Y,20240220065942
20240206,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,Y,20240221112510
20240207,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,Y,20240222065940
20240208,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1990,5.0,kg,100.0,g,N,20240223065943
20240213,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1990,5.0,kg,100.0,g,N,20240228065936
20240215,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1990,5.0,kg,100.0,g,N,20240301070020
20240216,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240302065953
20240219,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240305065952
20240220,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240306065941
20240221,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240307065956
20240222,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240308065948
20240223,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240309065947
20240226,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240312070022
20240227,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240313065944
20240228,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240314065945
20240229,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240318011344
20240304,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240319070511
20240305,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240320070501
20240306,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240321070453
20240307,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240322070436
20240513,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2880,5.0,kg,100.0,g,G,20240528070601
20240514,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2880,5.0,kg,100.0,g,G,20240529070534
20240516,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2880,5.0,kg,100.0,g,G,20240531070600
20240520,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1990,5.0,kg,100.0,g,Y,20240604020620
20240521,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1770,5.0,kg,100.0,g,Y,20240605070543
20240522,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1770,5.0,kg,100.0,g,Y,20240606070544
20240523,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1770,5.0,kg,100.0,g,Y,20240607070559
20240524,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1650,5.0,kg,100.0,g,Y,20240608070554
20240527,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1650,5.0,kg,100.0,g,Y,20240611070557
20240528,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1650,5.0,kg,100.0,g,Y,20240612070550
20240529,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1650,5.0,kg,100.0,g,Y,20240613070605
20240530,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1650,5.0,kg,100.0,g,Y,20240614070543
20240531,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1650,5.0,kg,100.0,g,N,20240615070558
20240603,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1650,5.0,kg,100.0,g,N,20240618070553
20240604,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1650,5.0,kg,100.0,g,N,20240619070544
20240607,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1650,5.0,kg,100.0,g,N,20240622070550
20240610,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1660,5.0,kg,100.0,g,N,20240625072132
20240611,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1660,5.0,kg,100.0,g,N,20240626070553
20240612,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1660,5.0,kg,100.0,g,N,20240627070548
20240613,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1660,5.0,kg,100.0,g,N,20240628070549
20240614,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1760,5.0,kg,100.0,g,N,20240629070612
20240617,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1760,5.0,kg,100.0,g,N,20240702070604
20240618,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1880,5.0,kg,100.0,g,N,20240703070603
20240619,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1880,5.0,kg,100.0,g,N,20240704070555
20240620,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1880,5.0,kg,100.0,g,N,20240705070614
20240621,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1770,5.0,kg,100.0,g,N,20240706070547
20240624,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1770,5.0,kg,100.0,g,N,20240709070559
20240625,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1770,5.0,kg,100.0,g,N,20240710070548
20240626,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1770,5.0,kg,100.0,g,N,20240711070550
20240627,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1770,5.0,kg,100.0,g,N,20240712070604
20240628,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1760,5.0,kg,100.0,g,N,20240713070620
20240701,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1760,5.0,kg,100.0,g,N,20240716070551
20240702,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1540,5.0,kg,100.0,g,Y,20240717070557
20240703,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1770,5.0,kg,100.0,g,N,20240718070551
20240704,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1770,5.0,kg,100.0,g,N,20240719070556
20240705,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1550,5.0,kg,100.0,g,Y,20240720070714
20240708,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1680,5.0,kg,100.0,g,N,20240723120613
20240709,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1680,5.0,kg,100.0,g,N,20240724070649
20240710,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1680,5.0,kg,100.0,g,N,20240725070606
20240711,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1680,5.0,kg,100.0,g,N,20240726070603
20240712,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1680,5.0,kg,100.0,g,N,20240730040122
20240715,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1680,5.0,kg,100.0,g,N,20240730080622
20240716,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1680,5.0,kg,100.0,g,N,20240731120707
20240717,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1680,5.0,kg,100.0,g,N,20240801120632
20240718,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1680,5.0,kg,100.0,g,N,20240802120654
20240719,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240805014641
20240722,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240806060616
20240723,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240807110629
20240724,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240808120630
20240725,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240809120625
20240726,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240812014658
20240729,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240813120632
20240730,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240814120651
20240731,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240816010622
20240801,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240816104621
20240802,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1660,5.0,kg,100.0,g,Y,20240820011634
20240805,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1660,5.0,kg,100.0,g,Y,20240820104627
20240809,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240826010152
20240812,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240827104705
20240813,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240828114654
20240814,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240829104636
20240816,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1840,5.0,kg,100.0,g,N,20240902123055
20240819,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2210,5.0,kg,100.0,g,N,20240903104602
20240820,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2210,5.0,kg,100.0,g,N,20240904024615
20240821,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,1550,5.0,kg,100.0,g,Y,20240905120057
20241129,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3100,5.0,kg,100.0,g,N,20241216123040
20241202,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2440,5.0,kg,100.0,g,N,20241217111607
20241203,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2440,5.0,kg,100.0,g,N,20241218121554
20241204,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2440,5.0,kg,100.0,g,N,20241219114626
20241205,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2440,5.0,kg,100.0,g,N,20241224020109
20241213,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3100,5.0,kg,100.0,g,N,20241230030114
20241216,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3100,5.0,kg,100.0,g,N,20241231114609
20241217,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3100,5.0,kg,100.0,g,N,20250102054558
20241218,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3100,5.0,kg,100.0,g,N,20250102104639
20241219,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,3100,5.0,kg,100.0,g,N,20250107010100
20241220,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,Y,20250106041607
20241223,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,Y,20250107110049
20241224,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,Y,20250108110121
20241226,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2210,5.0,kg,100.0,g,Y,20250110110104
20241227,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20250113054627
20241230,768,110410,L-유통,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20250114110112
