PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,14600,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231205,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,14600,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231206,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,14600,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231207,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,14600,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231208,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,14000,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231211,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,14000,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231212,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,14000,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231213,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,14000,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231214,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,13600,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231215,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,13600,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231218,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,13600,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231219,2,110211,가락도매,11,서울,1101,서울,644,굴,0,굴,2,도매,4,상품,13600,1,kg,1.0,kg,1.0,kg,1.0,kg,N,20240103065948
