PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231205,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231206,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231207,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231208,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231211,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231212,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231213,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231214,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231215,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231218,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240102062408
20231219,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240103065948
20231220,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240104065906
20231221,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240105065912
20231222,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240106065856
20231226,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240110065931
20231227,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240111065935
20231228,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240112065929
20231229,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,9950,5.0,kg,N,20240113065914
20240102,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240117065900
20240103,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240118065914
20240104,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240119065906
20240105,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240120065927
20240108,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240123065913
20240109,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240124065912
20240110,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240125065917
20240111,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240126065910
20240115,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240130065928
20240116,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240131065939
20240117,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240201065942
20240118,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240202065931
20240119,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240203065943
20240122,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240206065935
20240123,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240207065925
20240124,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240208065918
20240125,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240209065927
20240126,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240210065928
20240129,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240213065937
20240130,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240214065934
20240131,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240215065950
20240201,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240216065942
20240202,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240217065957
20240205,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240220065942
20240206,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240221112510
20240207,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240222065940
20240208,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240223065943
20240213,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240228065936
20240214,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240229065935
20240215,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240301070020
20240216,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240302065953
20240219,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240305065952
20240220,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240306065941
20240221,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240307065956
20240222,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240308065948
20240223,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240309065947
20240227,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240313065944
20240228,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240314065945
20240229,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240318011344
20240304,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240319070511
20240305,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240320070501
20240306,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240321070453
20240307,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240322070436
20240308,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240323070536
20240311,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240326070457
20240312,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240327070513
20240313,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240328070517
20240314,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240329070517
20240315,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240330070516
20240318,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240402070508
20240319,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240403070538
20240320,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240404070521
20240321,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240405070503
20240322,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240406070524
20240325,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240409070549
20240326,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240410070524
20240327,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240411070522
20240328,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240412070542
20240329,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240413070523
20240401,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240416070514
20240402,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240417070513
20240403,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240418070530
20240404,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240419070512
20240405,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240420070512
20240408,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240423070541
20240409,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240424070521
20240411,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240426070525
20240412,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240427070548
20240415,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240430070532
20240416,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240501070528
20240417,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240502070559
20240418,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240503070523
20240419,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240504070522
20240422,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240507070525
20240423,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240508070624
20240424,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240509070535
20240425,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240510070557
20240426,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240511070530
20240429,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240514070607
20240430,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240515070520
20240502,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240517070526
20240503,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240518070528
20240507,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240522070536
20240508,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240523070554
20240509,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240524070546
20240510,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240525070546
20240513,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240528070601
20240514,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240529070534
20240516,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240531070600
20240517,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240601070544
20240520,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240604020620
20240521,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240605070543
20240522,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240606070544
20240523,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240607070559
20240524,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240608070554
20240527,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240611070557
20240528,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240612070550
20240529,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240613070605
20240530,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240614070543
20240531,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240615070558
20240603,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240618070553
20240604,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240619070544
20240607,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240622070550
20240610,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240625072132
20240611,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240626070553
20240612,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240627070548
20240613,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240628070549
20240614,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240629070612
20240617,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240702070604
20240618,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240703070603
20240619,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240704070555
20240620,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240705070614
20240621,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240706070547
20240624,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240709070559
20240625,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240710070548
20240626,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240711070550
20240627,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240712070604
20240628,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240713070620
20240701,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240716070551
20240702,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240717070557
20240703,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240718070551
20240704,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240719070556
20240705,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240720070714
20240708,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240723120613
20240709,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240724070649
20240710,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240725070606
20240711,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240726070603
20240712,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240730040122
20240715,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240730080622
20240716,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240731120707
20240717,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240801120632
20240718,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240802120654
20240719,692,1000006,가락소매,11,서울,1101,서울,652,굵은소금,0,굵은소금,1,소매,4,상품,8700,5.0,kg,N,20240805014641
