PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240311,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,20000,18.0,kg,10.0,개,N,20240326070457
20240312,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,20000,18.0,kg,10.0,개,N,20240327070513
20240313,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240328070517
20240314,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240329070517
20240315,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240330070516
20240318,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240402070508
20240319,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240403070538
20240320,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240404070521
20240321,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240405070503
20240322,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240406070524
20240325,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240409070549
20240326,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240410070524
20240327,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240411070522
20240328,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240412070542
20240329,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240413070523
20240401,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,18000,18.0,kg,10.0,개,N,20240416070514
20240402,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15500,18.0,kg,10.0,개,N,20240417070513
20240403,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15500,18.0,kg,10.0,개,N,20240418070530
20240404,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15500,18.0,kg,10.0,개,N,20240419070512
20240405,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15500,18.0,kg,10.0,개,N,20240420070512
20240408,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15500,18.0,kg,10.0,개,N,20240423070541
20240409,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,14400,18.0,kg,10.0,개,N,20240424070521
20240411,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,14400,18.0,kg,10.0,개,N,20240426070525
20240412,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,14400,18.0,kg,10.0,개,N,20240427070548
20240429,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16600,18.0,kg,10.0,개,N,20240514070607
20240430,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15800,18.0,kg,10.0,개,N,20240515070520
20240502,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15800,18.0,kg,10.0,개,N,20240517070526
20240503,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15800,18.0,kg,10.0,개,N,20240518070528
20240507,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15800,18.0,kg,10.0,개,N,20240522070536
20240508,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15800,18.0,kg,10.0,개,N,20240523070554
20240509,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15800,18.0,kg,10.0,개,N,20240524070546
20240510,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,15800,18.0,kg,10.0,개,N,20240525070546
20240513,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240528070601
20240514,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240529070534
20240516,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240531070600
20240517,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240601070544
20240520,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240604020620
20240521,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240605070543
20240522,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240606070544
20240523,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240607070559
20240524,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240608070554
20240527,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240611070557
20240528,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240612070550
20240529,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240613070605
20240530,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240614070543
20240531,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240615070558
20240603,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240618070553
20240604,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240619070544
20240607,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240622070550
20240610,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240625072132
20240611,37,110212,경동,11,서울,1101,서울,421,오렌지,3,네이블 미국,1,소매,4,상품,16900,18.0,kg,10.0,개,N,20240626070553
