PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240131,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240215065950
20240201,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240216065942
20240202,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240217065957
20240205,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240220065942
20240206,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240221112510
20240207,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240222065940
20240208,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240223065943
20240213,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240228065936
20240214,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240229065935
20240215,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240301070020
20240216,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2370,5.0,kg,100.0,g,N,20240302065953
20240219,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240305065952
20240220,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240306065941
20240221,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240307065956
20240222,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240308065948
20240223,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240309065947
20240226,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240312070022
20240227,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240313065944
20240228,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240314065945
20240229,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240318011344
20240304,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240319070511
20240305,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240320070501
20240306,37,110212,경동,11,서울,1101,서울,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240321070453
