PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,5000,1.0,kg,N,20240102062408
20231205,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240102062408
20231206,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240102062408
20231207,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240102062408
20231208,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240102062408
20231211,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240102062408
20231212,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,5500,1.0,kg,N,20240102062408
20231213,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,5500,1.0,kg,N,20240102062408
20231214,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240102062408
20231215,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240102062408
20231218,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240102062408
20231219,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240103065948
20231220,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240104065906
20231221,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240105065912
20231222,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240106065856
20231226,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6000,1.0,kg,N,20240110065931
20241025,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4000,1.0,kg,N,20241111090115
20241028,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4000,1.0,kg,N,20241112110049
20241029,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4000,1.0,kg,N,20241113110033
20241030,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4500,1.0,kg,N,20241114120046
20241031,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4500,1.0,kg,N,20241115104625
20241101,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4500,1.0,kg,N,20241118015923
20241104,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4500,1.0,kg,N,20241119111557
20241105,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4500,1.0,kg,N,20241120111630
20241106,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4000,1.0,kg,N,20241121111556
20241107,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4000,1.0,kg,N,20241122111543
20241108,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3830,1.0,kg,N,20241125020105
20241111,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4000,1.0,kg,N,20241126111557
20241112,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4000,1.0,kg,N,20241127111600
20241113,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3660,1.0,kg,N,20241128111608
20241114,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4000,1.0,kg,N,20241129121603
20241115,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4000,1.0,kg,N,20241202123051
20241118,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4660,1.0,kg,N,20241203114550
20241119,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4500,1.0,kg,N,20241204124556
20241120,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4000,1.0,kg,N,20241205114603
20241121,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,4660,1.0,kg,N,20241209063105
20241122,291,110213,복조리,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,5330,1.0,kg,N,20241209034714
