PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231218,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240102062408
20231219,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240103065948
20231220,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240104065906
20231221,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240105065912
20231222,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240106065856
20231226,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240110065931
20231227,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240111065935
20231228,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240112065929
20231229,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240113065914
20240102,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240117065900
20240103,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240118065914
20240104,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240119065906
20240105,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240120065927
20240108,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240123065913
20240109,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240124065912
20240110,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240125065917
20240111,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240126065910
20240115,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240130065928
20240116,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240131065939
20240117,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240201065942
20240118,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240202065931
20240119,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240203065943
20240122,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240206065935
20240123,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240207065925
20240124,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240208065918
20240125,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240209065927
20240126,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240210065928
20240129,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240213065937
20240130,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17300,15,kg,10.0,kg,10.0,개,N,20240214065934
20240131,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17300,15,kg,10.0,kg,10.0,개,N,20240215065950
20240201,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240216065942
20240202,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240217065957
20240205,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240220065942
20240206,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240221112510
20240207,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240222065940
20240208,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240223065943
20240213,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240228065936
20240214,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240229065935
20240215,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240301070020
20240216,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240302065953
20240219,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240305065952
20240220,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240306065941
20240221,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240307065956
20240222,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240308065948
20240223,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240309065947
20240226,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16600,15,kg,10.0,kg,10.0,개,N,20240312070022
20240227,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17300,15,kg,10.0,kg,10.0,개,N,20240313065944
20240228,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17300,15,kg,10.0,kg,10.0,개,N,20240314065945
20240229,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17300,15,kg,10.0,kg,10.0,개,N,20240318011344
20240304,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17300,15,kg,10.0,kg,10.0,개,N,20240319070511
20240305,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17300,15,kg,10.0,kg,10.0,개,N,20240320070501
20240306,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17300,15,kg,10.0,kg,10.0,개,N,20240321070453
20240307,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17300,15,kg,10.0,kg,10.0,개,N,20240322070436
20240308,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,17300,15,kg,10.0,kg,10.0,개,N,20240323070536
20240311,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,18000,15,kg,10.0,kg,10.0,개,N,20240326070457
20240312,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,18000,15,kg,10.0,kg,10.0,개,N,20240327070513
20240313,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19300,15,kg,10.0,kg,10.0,개,N,20240328070517
20240314,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19300,15,kg,10.0,kg,10.0,개,N,20240329070517
20240315,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19300,15,kg,10.0,kg,10.0,개,N,20240330070516
20240318,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19300,15,kg,10.0,kg,10.0,개,N,20240402070508
20240319,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19300,15,kg,10.0,kg,10.0,개,N,20240403070538
20240320,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19300,15,kg,10.0,kg,10.0,개,N,20240404070521
20240321,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19300,15,kg,10.0,kg,10.0,개,N,20240405070503
20240322,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,18000,15,kg,10.0,kg,10.0,개,N,20240406070524
20240325,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,18000,15,kg,10.0,kg,10.0,개,N,20240409070549
20240326,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,18000,15,kg,10.0,kg,10.0,개,N,20240410070524
20240327,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,18000,15,kg,10.0,kg,10.0,개,N,20240411070522
20240328,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,18000,15,kg,10.0,kg,10.0,개,N,20240412070542
20240329,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240413070523
20240401,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,16000,15,kg,10.0,kg,10.0,개,N,20240416070514
20241021,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,18300,15,kg,10.0,kg,10.0,개,N,20241105110052
20241022,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,18300,15,kg,10.0,kg,10.0,개,N,20241106030109
20241023,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,18300,15,kg,10.0,kg,10.0,개,N,20241107110055
20241024,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,14400,15,kg,10.0,kg,10.0,개,N,20241108110102
20241025,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,14400,15,kg,10.0,kg,10.0,개,N,20241111090115
20241028,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,14400,15,kg,10.0,kg,10.0,개,N,20241112110049
20241029,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,14400,15,kg,10.0,kg,10.0,개,N,20241113110033
20241030,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,13800,15,kg,10.0,kg,10.0,개,N,20241114120046
20241031,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,10300,15,kg,10.0,kg,10.0,개,N,20241115104625
20241101,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,10300,15,kg,10.0,kg,10.0,개,N,20241118015923
20241104,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9720,15,kg,10.0,kg,10.0,개,N,20241119111557
20241105,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8770,15,kg,10.0,kg,10.0,개,N,20241120111630
20241106,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9330,15,kg,10.0,kg,10.0,개,N,20241121111556
20241107,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8110,15,kg,10.0,kg,10.0,개,N,20241122111543
20241108,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8110,15,kg,10.0,kg,10.0,개,N,20241125020105
20241111,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,7660,15,kg,10.0,kg,10.0,개,N,20241126111557
20241112,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,7660,15,kg,10.0,kg,10.0,개,N,20241127111600
20241113,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8110,15,kg,10.0,kg,10.0,개,N,20241128111608
20241114,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8110,15,kg,10.0,kg,10.0,개,N,20241129121603
20241115,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8110,15,kg,10.0,kg,10.0,개,N,20241202123051
20241118,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,7660,15,kg,10.0,kg,10.0,개,N,20241203114550
20241119,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8110,15,kg,10.0,kg,10.0,개,N,20241204124556
20241120,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8110,15,kg,10.0,kg,10.0,개,N,20241205114603
20241121,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8110,15,kg,10.0,kg,10.0,개,N,20241209063105
20241122,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8500,15,kg,10.0,kg,10.0,개,N,20241209034714
20241125,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8500,15,kg,10.0,kg,10.0,개,N,20241210024617
20241126,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,8500,15,kg,10.0,kg,10.0,개,N,20241211124610
20241127,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9000,15,kg,10.0,kg,10.0,개,N,20241212114550
20241128,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9000,15,kg,10.0,kg,10.0,개,N,20241213104553
20241129,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9000,15,kg,10.0,kg,10.0,개,N,20241216123040
20241202,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9000,15,kg,10.0,kg,10.0,개,N,20241217111607
20241203,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9000,15,kg,10.0,kg,10.0,개,N,20241218121554
20241204,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,10000,15,kg,10.0,kg,10.0,개,N,20241219114626
20241205,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9330,15,kg,10.0,kg,10.0,개,N,20241224020109
20241209,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,10100,15,kg,10.0,kg,10.0,개,N,20241224111605
20241210,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,11500,15,kg,10.0,kg,10.0,개,N,20241226013055
20241211,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,10600,15,kg,10.0,kg,10.0,개,N,20241226111605
20241212,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,10600,15,kg,10.0,kg,10.0,개,N,20241227111549
20241213,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,10600,15,kg,10.0,kg,10.0,개,N,20241230030114
20241216,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,10000,15,kg,10.0,kg,10.0,개,N,20241231114609
20241217,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9330,15,kg,10.0,kg,10.0,개,N,20250102054558
20241218,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9330,15,kg,10.0,kg,10.0,개,N,20250102104639
20241219,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9660,15,kg,10.0,kg,10.0,개,N,20250107010100
20241220,291,110213,복조리,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,9660,15,kg,10.0,kg,10.0,개,N,20250106041607
