PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240503,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,20600,1.0,개,1.0,개,N,20240518070528
20240507,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,20600,1.0,개,1.0,개,N,20240522070536
20240508,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,20600,1.0,개,1.0,개,N,20240523070554
20240509,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,20600,1.0,개,1.0,개,N,20240524070546
20240510,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,20600,1.0,개,1.0,개,N,20240525070546
20240513,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23300,1.0,개,1.0,개,N,20240528070601
20240514,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27600,1.0,개,1.0,개,N,20240529070534
20240516,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27600,1.0,개,1.0,개,N,20240531070600
20240517,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27600,1.0,개,1.0,개,N,20240601070544
20240520,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,30000,1.0,개,1.0,개,N,20240604020620
20240521,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,30000,1.0,개,1.0,개,N,20240605070543
20240522,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,30000,1.0,개,1.0,개,N,20240606070544
20240523,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,29300,1.0,개,1.0,개,N,20240607070559
20240524,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27600,1.0,개,1.0,개,N,20240608070554
20240527,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27600,1.0,개,1.0,개,N,20240611070557
20240528,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27600,1.0,개,1.0,개,N,20240612070550
20240529,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,27600,1.0,개,1.0,개,N,20240613070605
20240530,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,24000,1.0,개,1.0,개,N,20240614070543
20240531,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,24000,1.0,개,1.0,개,N,20240615070558
20240603,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,25600,1.0,개,1.0,개,N,20240618070553
20240604,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,22300,1.0,개,1.0,개,N,20240619070544
20240607,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,20600,1.0,개,1.0,개,N,20240622070550
20240610,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,20000,1.0,개,1.0,개,N,20240625072132
20240611,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23300,1.0,개,1.0,개,N,20240626070553
20240612,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23300,1.0,개,1.0,개,N,20240627070548
20240613,291,110213,복조리,11,서울,1101,서울,221,수박,0,수박,1,소매,4,상품,23300,1.0,개,1.0,개,N,20240628070549
