PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,440000,40.0,kg,500.0,g,N,20240102062408
20231205,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,440000,40.0,kg,500.0,g,N,20240102062408
20231206,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,440000,40.0,kg,500.0,g,N,20240102062408
20231207,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240102062408
20231208,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240102062408
20231211,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240102062408
20231212,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240102062408
20231213,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240102062408
20231214,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240102062408
20231215,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240102062408
20231218,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240102062408
20231219,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240103065948
20231220,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240104065906
20231221,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240105065912
20231222,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240106065856
20231226,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240110065931
20231227,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240111065935
20231228,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240112065929
20231229,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240113065914
20240102,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240117065900
20240103,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240118065914
20240104,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240119065906
20240105,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,453000,40.0,kg,500.0,g,N,20240120065927
20240108,4,110253,양곡도매,11,서울,1101,서울,142,팥,0,붉은 팥(국산),2,도매,4,상품,460000,40.0,kg,500.0,g,N,20240123065913
