PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231206,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,19900,1.0,개,1.0,개,N,20240102062408
20231207,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,19900,1.0,개,1.0,개,N,20240102062408
20231215,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,19900,1.0,개,1.0,개,N,20240102062408
20231218,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,19900,1.0,개,1.0,개,N,20240102062408
20231219,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,19900,1.0,개,1.0,개,N,20240103065948
20231222,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,21900,1.0,개,1.0,개,N,20240106065856
20240105,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,21900,1.0,개,1.0,개,N,20240120065927
20240108,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,21900,1.0,개,1.0,개,N,20240123065913
20240109,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,21900,1.0,개,1.0,개,N,20240124065912
20240110,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,21900,1.0,개,1.0,개,N,20240125065917
20240111,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240126065910
20240115,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,N,20240130065928
20240116,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,N,20240131065939
20240117,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,N,20240201065942
20240118,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,N,20240202065931
20240119,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,N,20240203065943
20240122,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,N,20240206065935
20240123,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,25900,1.0,개,1.0,개,N,20240207065925
20240129,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240213065937
20240130,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240214065934
20240131,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240215065950
20240201,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240216065942
20240202,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240217065957
20240207,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240222065940
20240208,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240223065943
20240213,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,N,20240228065936
20240219,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240305065952
20240226,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240312070022
20240227,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240313065944
20240228,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240314065945
20240229,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240318011344
20240307,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240322070436
20240308,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240323070536
20240311,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240326070457
20240312,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240327070513
20240313,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240328070517
20240314,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240329070517
20240315,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240330070516
20240326,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240410070524
20240327,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240411070522
20240328,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240412070542
20240401,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240416070514
20240402,387,270101,C-유통,27,세종,2701,세종,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240417070513
