PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241007,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,12800,1.0,kg,N,20241023013040
20241007,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,31800,1.0,kg,N,20241023013040
20241028,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,14700,1.0,kg,N,20241112110049
20241028,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,34500,1.0,kg,N,20241112110049
20241030,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,32100,1.0,kg,N,20241114120046
20241030,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,15000,1.0,kg,N,20241114120046
20241106,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,32800,1.0,kg,N,20241121111556
20241106,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,14400,1.0,kg,N,20241121111556
20241111,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,16000,1.0,kg,N,20241126111557
20241111,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,35000,1.0,kg,N,20241126111557
20241113,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,33900,1.0,kg,N,20241128111608
20241113,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,14100,1.0,kg,N,20241128111608
20241118,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,36800,1.0,kg,N,20241203114550
20241118,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,12100,1.0,kg,N,20241203114550
20241120,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,34400,1.0,kg,N,20241205114603
20241120,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,13400,1.0,kg,N,20241205114603
20241125,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,34100,1.0,kg,N,20241210024617
20241125,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,15400,1.0,kg,N,20241210024617
20241127,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,36500,1.0,kg,N,20241212114550
20241127,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,15300,1.0,kg,N,20241212114550
20241129,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,15800,1.0,kg,N,20241216123040
20241129,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,38800,1.0,kg,N,20241216123040
20241202,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,16100,1.0,kg,N,20241217111607
20241202,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,34800,1.0,kg,N,20241217111607
20241204,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,14800,1.0,kg,N,20241219114626
20241204,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,34900,1.0,kg,N,20241219114626
20241206,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,14300,1.0,kg,N,20241223033047
20241206,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,34600,1.0,kg,N,20241223033047
20241209,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,13300,1.0,kg,N,20241224111605
20241209,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,33000,1.0,kg,N,20241224111605
20241211,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,13500,1.0,kg,N,20241226111605
20241211,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,33100,1.0,kg,N,20241226111605
20241213,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,1,중국,9,09,4,상품,12100,1.0,kg,N,20241230030114
20241213,687,1000001,온라인몰A,98,온라인,9998,온라인,248,고춧가루,0,국산,9,09,4,상품,34400,1.0,kg,N,20241230030114
