PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241007,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,2500,4.0,kg,100.0,g,100.0,g,N,20241023013040
20241007,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,3180,4.0,kg,100.0,g,100.0,g,N,20241023013040
20241028,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,2090,4.0,kg,100.0,g,100.0,g,N,20241112110049
20241028,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,2780,4.0,kg,100.0,g,100.0,g,N,20241112110049
20241030,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,2430,4.0,kg,100.0,g,100.0,g,N,20241114120046
20241030,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,2280,4.0,kg,100.0,g,100.0,g,N,20241114120046
20241106,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,2000,4.0,kg,100.0,g,100.0,g,N,20241121111556
20241106,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,2000,4.0,kg,100.0,g,100.0,g,N,20241121111556
20241111,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1700,4.0,kg,100.0,g,100.0,g,N,20241126111557
20241111,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1720,4.0,kg,100.0,g,100.0,g,N,20241126111557
20241113,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1720,4.0,kg,100.0,g,100.0,g,N,20241128111608
20241113,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1630,4.0,kg,100.0,g,100.0,g,N,20241128111608
20241118,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1690,4.0,kg,100.0,g,100.0,g,N,20241203114550
20241118,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1380,4.0,kg,100.0,g,100.0,g,N,20241203114550
20241120,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1160,4.0,kg,100.0,g,100.0,g,N,20241205114603
20241120,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1490,4.0,kg,100.0,g,100.0,g,N,20241205114603
20241125,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1120,4.0,kg,100.0,g,100.0,g,N,20241210024617
20241125,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1060,4.0,kg,100.0,g,100.0,g,N,20241210024617
20241127,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1080,4.0,kg,100.0,g,100.0,g,N,20241212114550
20241127,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1460,4.0,kg,100.0,g,100.0,g,N,20241212114550
20241129,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1450,4.0,kg,100.0,g,100.0,g,N,20241216123040
20241129,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1220,4.0,kg,100.0,g,100.0,g,N,20241216123040
20241202,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1300,4.0,kg,100.0,g,100.0,g,N,20241217111607
20241202,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1130,4.0,kg,100.0,g,100.0,g,N,20241217111607
20241204,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1310,4.0,kg,100.0,g,100.0,g,N,20241219114626
20241204,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1130,4.0,kg,100.0,g,100.0,g,N,20241219114626
20241206,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1090,4.0,kg,100.0,g,100.0,g,N,20241223033047
20241206,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1100,4.0,kg,100.0,g,100.0,g,N,20241223033047
20241209,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1340,4.0,kg,100.0,g,100.0,g,N,20241224111605
20241209,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1020,4.0,kg,100.0,g,100.0,g,N,20241224111605
20241211,687,1000001,온라인몰A,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,980,4.0,kg,100.0,g,100.0,g,N,20241226111605
