PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241028,687,1000001,온라인몰A,98,온라인,9998,온라인,223,오이,3,취청,9,09,4,상품,19500,50.0,개,10.0,개,10.0,개,N,20241112110049
20241028,687,1000001,온라인몰A,98,온라인,9998,온라인,223,오이,2,다다기계통,9,09,4,상품,13500,100.0,개,10.0,개,10.0,개,N,20241112110049
20241028,687,1000001,온라인몰A,98,온라인,9998,온라인,223,오이,1,가시계통,9,09,4,상품,16800,10.0,kg,10.0,개,10.0,개,N,20241112110049
20241030,687,1000001,온라인몰A,98,온라인,9998,온라인,223,오이,3,취청,9,09,4,상품,17400,50.0,개,10.0,개,10.0,개,N,20241114120046
20241030,687,1000001,온라인몰A,98,온라인,9998,온라인,223,오이,2,다다기계통,9,09,4,상품,13800,100.0,개,10.0,개,10.0,개,N,20241114120046
20241030,687,1000001,온라인몰A,98,온라인,9998,온라인,223,오이,1,가시계통,9,09,4,상품,8750,10.0,kg,10.0,개,10.0,개,N,20241114120046
20241106,687,1000001,온라인몰A,98,온라인,9998,온라인,223,오이,1,가시계통,9,09,4,상품,17000,10.0,kg,10.0,개,10.0,개,N,20241121111556
20241106,687,1000001,온라인몰A,98,온라인,9998,온라인,223,오이,3,취청,9,09,4,상품,21500,50.0,개,10.0,개,10.0,개,N,20241121111556
20241106,687,1000001,온라인몰A,98,온라인,9998,온라인,223,오이,2,다다기계통,9,09,4,상품,14300,100.0,개,10.0,개,10.0,개,N,20241121111556
20241111,687,1000001,온라인몰A,98,온라인,9998,온라인,223,오이,3,취청,9,09,4,상품,20700,50.0,개,10.0,개,10.0,개,N,20241126111557
