PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241007,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4080,40.0,kg,1.0,kg,N,20241023013040
20241028,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4330,40.0,kg,1.0,kg,N,20241112110049
20241030,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4420,40.0,kg,1.0,kg,N,20241114120046
20241106,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4420,40.0,kg,1.0,kg,N,20241121111556
20241111,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4760,40.0,kg,1.0,kg,N,20241126111557
20241113,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4860,40.0,kg,1.0,kg,N,20241128111608
20241118,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,5070,40.0,kg,1.0,kg,N,20241203114550
20241120,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,5090,40.0,kg,1.0,kg,N,20241205114603
20241125,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4660,40.0,kg,1.0,kg,N,20241210024617
20241127,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4600,40.0,kg,1.0,kg,N,20241212114550
20241129,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4600,40.0,kg,1.0,kg,N,20241216123040
20241202,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4560,40.0,kg,1.0,kg,N,20241217111607
20241204,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4550,40.0,kg,1.0,kg,N,20241219114626
20241206,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4520,40.0,kg,1.0,kg,N,20241223033047
20241209,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4530,40.0,kg,1.0,kg,N,20241224111605
20241211,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4560,40.0,kg,1.0,kg,N,20241226111605
20241213,687,1000001,온라인몰A,98,온라인,9998,온라인,112,찹쌀,1,일반계,9,09,4,상품,4550,40.0,kg,1.0,kg,N,20241230030114
