PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241106,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2900,5.0,kg,200.0,g,200.0,g,N,20241121111556
20241111,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2730,5.0,kg,200.0,g,200.0,g,N,20241126111557
20241113,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2340,5.0,kg,200.0,g,200.0,g,N,20241128111608
20241118,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2310,5.0,kg,200.0,g,200.0,g,N,20241203114550
20241120,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2020,5.0,kg,200.0,g,200.0,g,N,20241205114603
20241125,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,1930,5.0,kg,200.0,g,200.0,g,N,20241210024617
20241127,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,1940,5.0,kg,200.0,g,200.0,g,N,20241212114550
20241129,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2020,5.0,kg,200.0,g,200.0,g,N,20241216123040
20241202,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2190,5.0,kg,200.0,g,200.0,g,N,20241217111607
20241204,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2120,5.0,kg,200.0,g,200.0,g,N,20241219114626
20241206,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2090,5.0,kg,200.0,g,200.0,g,N,20241223033047
20241209,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2090,5.0,kg,200.0,g,200.0,g,N,20241224111605
20241211,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2060,5.0,kg,200.0,g,200.0,g,N,20241226111605
20241213,687,1000001,온라인몰A,98,온라인,9998,온라인,256,파프리카,0,파프리카,9,09,4,상품,2070,5.0,kg,200.0,g,200.0,g,N,20241230030114
