PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241007,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,2860,4.0,kg,100.0,g,100.0,g,N,20241023013040
20241007,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,2580,4.0,kg,100.0,g,100.0,g,N,20241023013040
20241028,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1310,4.0,kg,100.0,g,100.0,g,N,20241112110049
20241028,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1250,4.0,kg,100.0,g,100.0,g,N,20241112110049
20241030,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1550,4.0,kg,100.0,g,100.0,g,N,20241114120046
20241030,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1320,4.0,kg,100.0,g,100.0,g,N,20241114120046
20241106,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,960,4.0,kg,100.0,g,100.0,g,N,20241121111556
20241106,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,990,4.0,kg,100.0,g,100.0,g,N,20241121111556
20241111,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,980,4.0,kg,100.0,g,100.0,g,N,20241126111557
20241111,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,780,4.0,kg,100.0,g,100.0,g,N,20241126111557
20241113,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,640,4.0,kg,100.0,g,100.0,g,N,20241128111608
20241113,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,790,4.0,kg,100.0,g,100.0,g,N,20241128111608
20241118,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,470,4.0,kg,100.0,g,100.0,g,N,20241203114550
20241118,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,560,4.0,kg,100.0,g,100.0,g,N,20241203114550
20241120,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,440,4.0,kg,100.0,g,100.0,g,N,20241205114603
20241120,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,540,4.0,kg,100.0,g,100.0,g,N,20241205114603
20241125,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,360,4.0,kg,100.0,g,100.0,g,N,20241210024617
20241125,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,500,4.0,kg,100.0,g,100.0,g,N,20241210024617
20241127,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,420,4.0,kg,100.0,g,100.0,g,N,20241212114550
20241127,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,480,4.0,kg,100.0,g,100.0,g,N,20241212114550
20241129,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,530,4.0,kg,100.0,g,100.0,g,N,20241216123040
20241129,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,450,4.0,kg,100.0,g,100.0,g,N,20241216123040
20241202,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,530,4.0,kg,100.0,g,100.0,g,N,20241217111607
20241202,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,850,4.0,kg,100.0,g,100.0,g,N,20241217111607
20241204,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,490,4.0,kg,100.0,g,100.0,g,N,20241219114626
20241204,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,390,4.0,kg,100.0,g,100.0,g,N,20241219114626
20241206,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,490,4.0,kg,100.0,g,100.0,g,N,20241223033047
20241206,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,840,4.0,kg,100.0,g,100.0,g,N,20241223033047
20241209,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,500,4.0,kg,100.0,g,100.0,g,N,20241224111605
20241209,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,940,4.0,kg,100.0,g,100.0,g,N,20241224111605
20241211,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,530,4.0,kg,100.0,g,100.0,g,N,20241226111605
20241211,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,850,4.0,kg,100.0,g,100.0,g,N,20241226111605
20241213,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,520,4.0,kg,100.0,g,100.0,g,N,20241230030114
20241213,688,1000007,온라인몰B,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,740,4.0,kg,100.0,g,100.0,g,N,20241230030114
