PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241028,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,2,쪽파,9,09,4,상품,8170,1.0,kg,1.0,kg,1.0,kg,N,20241112110049
20241028,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,0,대파,9,09,4,상품,3710,1.0,kg,1.0,kg,1.0,kg,N,20241112110049
20241030,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,2,쪽파,9,09,4,상품,7980,1.0,kg,1.0,kg,1.0,kg,N,20241114120046
20241030,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,0,대파,9,09,4,상품,3840,1.0,kg,1.0,kg,1.0,kg,N,20241114120046
20241106,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,0,대파,9,09,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,N,20241121111556
20241106,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,2,쪽파,9,09,4,상품,6600,1.0,kg,1.0,kg,1.0,kg,N,20241121111556
20241111,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,2,쪽파,9,09,4,상품,8450,1.0,kg,1.0,kg,1.0,kg,N,20241126111557
20241111,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,0,대파,9,09,4,상품,3840,1.0,kg,1.0,kg,1.0,kg,N,20241126111557
20241113,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,2,쪽파,9,09,4,상품,8590,1.0,kg,1.0,kg,1.0,kg,N,20241128111608
20241113,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,0,대파,9,09,4,상품,3960,1.0,kg,1.0,kg,1.0,kg,N,20241128111608
20241118,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,2,쪽파,9,09,4,상품,9150,1.0,kg,1.0,kg,1.0,kg,N,20241203114550
20241118,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,0,대파,9,09,4,상품,3620,1.0,kg,1.0,kg,1.0,kg,N,20241203114550
20241120,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,0,대파,9,09,4,상품,3780,1.0,kg,1.0,kg,1.0,kg,N,20241205114603
20241120,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,2,쪽파,9,09,4,상품,9360,1.0,kg,1.0,kg,1.0,kg,N,20241205114603
20241125,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,0,대파,9,09,4,상품,3750,1.0,kg,1.0,kg,1.0,kg,N,20241210024617
20241125,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,2,쪽파,9,09,4,상품,9510,1.0,kg,1.0,kg,1.0,kg,N,20241210024617
20241127,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,0,대파,9,09,4,상품,3680,1.0,kg,1.0,kg,1.0,kg,N,20241212114550
20241127,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,2,쪽파,9,09,4,상품,9960,1.0,kg,1.0,kg,1.0,kg,N,20241212114550
20241129,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,2,쪽파,9,09,4,상품,10300,1.0,kg,1.0,kg,1.0,kg,N,20241216123040
20241129,688,1000007,온라인몰B,98,온라인,9998,온라인,246,파,0,대파,9,09,4,상품,3960,1.0,kg,1.0,kg,1.0,kg,N,20241216123040
