PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241007,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,2800,4.0,kg,100.0,g,100.0,g,N,20241023013040
20241007,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,2840,4.0,kg,100.0,g,100.0,g,N,20241023013040
20241028,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1560,4.0,kg,100.0,g,100.0,g,N,20241112110049
20241028,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1500,4.0,kg,100.0,g,100.0,g,N,20241112110049
20241030,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1860,4.0,kg,100.0,g,100.0,g,N,20241114120046
20241030,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1720,4.0,kg,100.0,g,100.0,g,N,20241114120046
20241106,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1480,4.0,kg,100.0,g,100.0,g,N,20241121111556
20241106,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1660,4.0,kg,100.0,g,100.0,g,N,20241121111556
20241111,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1340,4.0,kg,100.0,g,100.0,g,N,20241126111557
20241111,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1330,4.0,kg,100.0,g,100.0,g,N,20241126111557
20241113,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1230,4.0,kg,100.0,g,100.0,g,N,20241128111608
20241113,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1230,4.0,kg,100.0,g,100.0,g,N,20241128111608
20241118,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,1130,4.0,kg,100.0,g,100.0,g,N,20241203114550
20241118,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1060,4.0,kg,100.0,g,100.0,g,N,20241203114550
20241120,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,760,4.0,kg,100.0,g,100.0,g,N,20241205114603
20241120,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,1080,4.0,kg,100.0,g,100.0,g,N,20241205114603
20241125,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,1,적,9,09,4,상품,720,4.0,kg,100.0,g,100.0,g,N,20241210024617
20241125,689,1000005,온라인몰C,98,온라인,9998,온라인,214,상추,2,청,9,09,4,상품,730,4.0,kg,100.0,g,100.0,g,N,20241210024617
