PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241007,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,14500,5.0,kg,1.0,kg,1.0,kg,N,20241023013040
20241111,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,11800,5.0,kg,1.0,kg,1.0,kg,N,20241126111557
20241113,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,11800,5.0,kg,1.0,kg,1.0,kg,N,20241128111608
20241118,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,11800,5.0,kg,1.0,kg,1.0,kg,N,20241203114550
20241120,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,11800,5.0,kg,1.0,kg,1.0,kg,N,20241205114603
20241125,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,13600,5.0,kg,1.0,kg,1.0,kg,N,20241210024617
20241127,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,13600,5.0,kg,1.0,kg,1.0,kg,N,20241212114550
20241129,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,12700,5.0,kg,1.0,kg,1.0,kg,N,20241216123040
20241202,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,12700,5.0,kg,1.0,kg,1.0,kg,N,20241217111607
20241204,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,12700,5.0,kg,1.0,kg,1.0,kg,N,20241219114626
20241206,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,7450,5.0,kg,1.0,kg,1.0,kg,N,20241223033047
20241209,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,7450,5.0,kg,1.0,kg,1.0,kg,N,20241224111605
20241211,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,7450,5.0,kg,1.0,kg,1.0,kg,N,20241226111605
20241213,690,1000008,온라인몰D,98,온라인,9998,온라인,225,토마토,0,토마토,9,09,4,상품,8700,5.0,kg,1.0,kg,1.0,kg,N,20241230030114
