PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241002,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,12900,20.0,kg,1.0,kg,N,20241017110043
20241004,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,11100,20.0,kg,1.0,kg,N,20241021011538
20241007,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,11600,20.0,kg,1.0,kg,N,20241023013040
20241028,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,9980,20.0,kg,1.0,kg,N,20241112110049
20241030,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,9980,20.0,kg,1.0,kg,N,20241114120046
20241106,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,9980,20.0,kg,1.0,kg,N,20241121111556
20241111,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,11900,20.0,kg,1.0,kg,N,20241126111557
20241118,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,8740,20.0,kg,1.0,kg,N,20241203114550
20241120,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,10300,20.0,kg,1.0,kg,N,20241205114603
20241125,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,8740,20.0,kg,1.0,kg,N,20241210024617
20241127,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,8740,20.0,kg,1.0,kg,N,20241212114550
20241202,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,9990,20.0,kg,1.0,kg,N,20241217111607
20241204,828,1000010,온라인몰G,98,온라인,9998,온라인,258,깐마늘(국산),1,깐마늘(국산),9,09,4,상품,9990,20.0,kg,1.0,kg,N,20241219114626
