PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241007,829,1000011,온라인몰H,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,990,10.0,kg,100.0,g,,,N,20241023013040
20241007,829,1000011,온라인몰H,98,온라인,9998,온라인,242,풋고추,3,청양고추,9,09,4,상품,1530,10.0,kg,100.0,g,,,N,20241023013040
20241007,829,1000011,온라인몰H,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,1920,4.0,kg,100.0,g,100.0,g,N,20241023013040
20241028,829,1000011,온라인몰H,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1600,10.0,kg,100.0,g,,,N,20241112110049
20241028,829,1000011,온라인몰H,98,온라인,9998,온라인,242,풋고추,3,청양고추,9,09,4,상품,1460,10.0,kg,100.0,g,,,N,20241112110049
20241028,829,1000011,온라인몰H,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,2180,4.0,kg,100.0,g,100.0,g,N,20241112110049
20241030,829,1000011,온라인몰H,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,2180,4.0,kg,100.0,g,100.0,g,N,20241114120046
20241030,829,1000011,온라인몰H,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1330,10.0,kg,100.0,g,,,N,20241114120046
20241030,829,1000011,온라인몰H,98,온라인,9998,온라인,242,풋고추,3,청양고추,9,09,4,상품,1460,10.0,kg,100.0,g,,,N,20241114120046
20241106,829,1000011,온라인몰H,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,2180,4.0,kg,100.0,g,100.0,g,N,20241121111556
