PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,4730,1.0,kg,N,20240102062408
20231205,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,4730,1.0,kg,N,20240102062408
20231206,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,4730,1.0,kg,N,20240102062408
20231207,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,8980,1.0,kg,N,20240102062408
20231208,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,6800,1.0,kg,N,20240102062408
20231211,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,7980,1.0,kg,N,20240102062408
20231212,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,8980,1.0,kg,N,20240102062408
20231213,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,7980,1.0,kg,N,20240102062408
20231214,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,6980,1.0,kg,N,20240102062408
20231215,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,6280,1.0,kg,N,20240102062408
20231218,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,6280,1.0,kg,N,20240102062408
20241107,764,260402,B-유통,26,울산,2601,울산,216,갓,0,갓,1,소매,4,상품,5490,1.0,kg,N,20241122111543
