PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240617,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9900,8.0,kg,1.0,개,N,20240702070604
20240618,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9900,8.0,kg,1.0,개,N,20240703070603
20240619,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9900,8.0,kg,1.0,개,N,20240704070555
20240620,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7500,8.0,kg,1.0,개,Y,20240705070614
20240621,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7500,8.0,kg,1.0,개,Y,20240706070547
20240624,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7500,8.0,kg,1.0,개,Y,20240709070559
20240625,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7500,8.0,kg,1.0,개,Y,20240710070548
20240626,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7500,8.0,kg,1.0,개,Y,20240711070550
20240627,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,6980,8.0,kg,1.0,개,Y,20240712070604
20240628,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,6980,8.0,kg,1.0,개,Y,20240713070620
20240701,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,6980,8.0,kg,1.0,개,Y,20240716070551
20240702,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,6980,8.0,kg,1.0,개,Y,20240717070557
20240703,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,6980,8.0,kg,1.0,개,Y,20240718070551
20240704,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240719070556
20240705,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240720070714
20240708,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240723120613
20240709,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240724070649
20240710,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240725070606
20240711,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7600,8.0,kg,1.0,개,Y,20240726070603
20240712,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7600,8.0,kg,1.0,개,Y,20240730040122
20240715,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,6980,8.0,kg,1.0,개,Y,20240730080622
20240716,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,6980,8.0,kg,1.0,개,Y,20240731120707
20240717,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,6980,8.0,kg,1.0,개,Y,20240801120632
20240718,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7600,8.0,kg,1.0,개,Y,20240802120654
20240719,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7600,8.0,kg,1.0,개,Y,20240805014641
20240722,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7600,8.0,kg,1.0,개,Y,20240806060616
20240723,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7600,8.0,kg,1.0,개,Y,20240807110629
20240724,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7600,8.0,kg,1.0,개,Y,20240808120630
20240725,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240809120625
20240726,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240812014658
20240729,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240813120632
20240730,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240814120651
20240731,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240816010622
20240801,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240816104621
20240802,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,6900,8.0,kg,1.0,개,Y,20240820011634
20240805,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8900,8.0,kg,1.0,개,Y,20240820104627
20240806,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8900,8.0,kg,1.0,개,Y,20240821114630
20240807,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,6900,8.0,kg,1.0,개,Y,20240822104626
20240808,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240823104625
20240809,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240826010152
20240812,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240827104705
20240813,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240828114654
20240814,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240829104636
20240816,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20240902123055
20240819,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20240903104602
20240820,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20240904024615
20240821,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20240905120057
20240822,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8980,8.0,kg,1.0,개,Y,20240906110101
20240823,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8980,8.0,kg,1.0,개,Y,20240909011534
20240826,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20240910110037
20240827,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20240911120047
20240828,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20240912110028
20240829,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20240913110049
20240830,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20240919103028
20240902,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8900,8.0,kg,1.0,개,Y,20240919073113
20240903,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8900,8.0,kg,1.0,개,Y,20240919100018
20240904,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8900,8.0,kg,1.0,개,Y,20240920121525
20240905,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240920110108
20240906,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,7980,8.0,kg,1.0,개,Y,20240924020040
20240909,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20240924110028
20240910,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20240925110046
20240911,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20240926120046
20240912,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20240927120023
20240913,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20240930011540
20240919,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20241004110042
20240920,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20241007011552
20240923,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20241008120111
20240924,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20241010011535
20240925,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,9980,8.0,kg,1.0,개,Y,20241010110045
20240926,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8900,8.0,kg,1.0,개,Y,20241011110038
20240927,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,10900,8.0,kg,1.0,개,Y,20241014123600
20240930,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,10900,8.0,kg,1.0,개,Y,20241016011602
20241002,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,10900,8.0,kg,1.0,개,Y,20241017110043
20241004,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,10900,8.0,kg,1.0,개,Y,20241021011538
20241007,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241023013040
20241008,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241023110036
20241010,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241025110049
20241011,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241028010101
20241014,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241029110052
20241015,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241030110107
20241016,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241031020130
20241017,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241101110041
20241018,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241104024545
20241021,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241105110052
20241022,764,260402,B-유통,26,울산,2601,울산,257,멜론,0,멜론,1,소매,4,상품,8600,8.0,kg,1.0,개,Y,20241106030109
