PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240711,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,19200,15,kg,4.0,kg,10.0,개,Y,20240726070603
20240712,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,19200,15,kg,4.0,kg,10.0,개,Y,20240730040122
20240715,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,19600,15,kg,4.0,kg,10.0,개,Y,20240730080622
20240716,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,19600,15,kg,4.0,kg,10.0,개,Y,20240731120707
20240717,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,19600,15,kg,4.0,kg,10.0,개,Y,20240801120632
20240718,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,19600,15,kg,4.0,kg,10.0,개,Y,20240802120654
20240719,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,19600,15,kg,4.0,kg,10.0,개,Y,20240805014641
20240722,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20500,15,kg,4.0,kg,10.0,개,Y,20240806060616
20240723,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20500,15,kg,4.0,kg,10.0,개,Y,20240807110629
20240724,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20500,15,kg,4.0,kg,10.0,개,Y,20240808120630
20240725,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20500,15,kg,4.0,kg,10.0,개,Y,20240809120625
20240726,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20500,15,kg,4.0,kg,10.0,개,Y,20240812014658
20240729,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20500,15,kg,4.0,kg,10.0,개,Y,20240813120632
20240730,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20500,15,kg,4.0,kg,10.0,개,Y,20240814120651
20240731,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,18500,15,kg,4.0,kg,10.0,개,Y,20240816010622
20240801,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,17900,15,kg,4.0,kg,10.0,개,Y,20240816104621
20240802,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,17900,15,kg,4.0,kg,10.0,개,Y,20240820011634
20240805,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,17900,15,kg,4.0,kg,10.0,개,Y,20240820104627
20240806,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,17900,15,kg,4.0,kg,10.0,개,Y,20240821114630
20240807,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,16900,15,kg,4.0,kg,10.0,개,Y,20240822104626
20240808,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,16500,15,kg,4.0,kg,10.0,개,Y,20240823104625
20240809,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,16500,15,kg,4.0,kg,10.0,개,Y,20240826010152
20240812,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,21600,15,kg,4.0,kg,10.0,개,Y,20240827104705
20240813,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,21600,15,kg,4.0,kg,10.0,개,Y,20240828114654
20240814,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,21600,15,kg,4.0,kg,10.0,개,Y,20240829104636
20240816,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20900,15,kg,4.0,kg,10.0,개,Y,20240902123055
20240819,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20900,15,kg,4.0,kg,10.0,개,Y,20240903104602
20240820,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20900,15,kg,4.0,kg,10.0,개,Y,20240904024615
20240821,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20900,15,kg,4.0,kg,10.0,개,Y,20240905120057
20240822,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,18900,15,kg,4.0,kg,10.0,개,Y,20240906110101
20240823,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,20900,15,kg,4.0,kg,10.0,개,Y,20240909011534
20240826,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,22900,15,kg,4.0,kg,10.0,개,Y,20240910110037
20240827,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,23800,15,kg,4.0,kg,10.0,개,Y,20240911120047
20240828,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,23800,15,kg,4.0,kg,10.0,개,Y,20240912110028
20240829,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,23800,15,kg,4.0,kg,10.0,개,Y,20240913110049
20240830,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,23800,15,kg,4.0,kg,10.0,개,Y,20240919103028
20240902,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,23800,15,kg,4.0,kg,10.0,개,Y,20240919073113
20240903,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,28800,15,kg,4.0,kg,10.0,개,Y,20240919100018
20240904,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,28800,15,kg,4.0,kg,10.0,개,Y,20240920121525
20240905,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,25600,15,kg,4.0,kg,10.0,개,Y,20240920110108
20240906,764,260402,B-유통,26,울산,2601,울산,413,복숭아,1,백도,1,소매,4,상품,23900,15,kg,4.0,kg,10.0,개,Y,20240924020040
