PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241120,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6120,1.0,kg,1.0,kg,N,20241205114603
20241121,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6120,1.0,kg,1.0,kg,N,20241209063105
20241122,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6120,1.0,kg,1.0,kg,N,20241209034714
20241125,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6120,1.0,kg,1.0,kg,N,20241210024617
20241126,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6120,1.0,kg,1.0,kg,N,20241211124610
20241127,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6120,1.0,kg,1.0,kg,N,20241212114550
20241128,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6120,1.0,kg,1.0,kg,N,20241213104553
20241129,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6120,1.0,kg,1.0,kg,N,20241216123040
20241202,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6120,1.0,kg,1.0,kg,N,20241217111607
20241203,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6120,1.0,kg,1.0,kg,N,20241218121554
20241204,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20241219114626
20241205,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20241224020109
20241209,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20241224111605
20241210,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20241226013055
20241211,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20241226111605
20241212,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20241227111549
20241213,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20241230030114
20241216,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20241231114609
20241217,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20250102054558
20241218,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20250102104639
20241219,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20250107010100
20241220,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20250106041607
20241223,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20250107110049
20241224,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20250108110121
20241226,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20250110110104
20241227,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6200,1.0,kg,1.0,kg,N,20250113054627
20250218,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6830,1.0,kg,1.0,kg,N,20250305113145
20250219,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6830,1.0,kg,1.0,kg,N,20250306113153
20250220,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6830,1.0,kg,1.0,kg,N,20250307033157
20250221,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6830,1.0,kg,1.0,kg,N,20250310024653
20250224,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6830,1.0,kg,1.0,kg,N,20250311113200
20250225,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6830,1.0,kg,1.0,kg,N,20250312113227
20250226,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6830,1.0,kg,1.0,kg,N,20250313033205
20250227,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6830,1.0,kg,1.0,kg,N,20250314113156
20250228,277,260001,신정,26,울산,2601,울산,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,6830,1.0,kg,1.0,kg,N,20250317123223
