PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,12600,15,kg,10.0,kg,10.0,개,N,20240102062408
20231205,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,14300,15,kg,10.0,kg,10.0,개,N,20240102062408
20231206,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,14300,15,kg,10.0,kg,10.0,개,N,20240102062408
20231207,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,14300,15,kg,10.0,kg,10.0,개,N,20240102062408
20231208,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,14300,15,kg,10.0,kg,10.0,개,N,20240102062408
20231211,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,14300,15,kg,10.0,kg,10.0,개,N,20240102062408
20231212,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,14300,15,kg,10.0,kg,10.0,개,N,20240102062408
20231213,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,14300,15,kg,10.0,kg,10.0,개,N,20240102062408
20231214,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,14300,15,kg,10.0,kg,10.0,개,N,20240102062408
20231215,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240102062408
20231218,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240102062408
20231219,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240103065948
20231220,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240104065906
20231221,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240105065912
20231222,277,260001,신정,26,울산,2601,울산,416,단감,0,단감,1,소매,4,상품,15000,15,kg,10.0,kg,10.0,개,N,20240106065856
