PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231226,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240110065931
20231227,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240111065935
20231228,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240112065929
20231229,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240113065914
20240102,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240117065900
20240103,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240118065914
20240104,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240119065906
20240105,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240120065927
20240108,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240123065913
20240109,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240124065912
20240110,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240125065917
20240111,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240126065910
20240115,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240130065928
20240116,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240131065939
20240117,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240201065942
20240118,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240202065931
20240119,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240203065943
20240122,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2730,5.0,kg,100.0,g,N,20240206065935
20240123,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240207065925
20240124,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240208065918
20240125,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240209065927
20240126,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240210065928
20240129,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240213065937
20240130,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240214065934
20240131,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240215065950
20240201,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240216065942
20240202,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240217065957
20240205,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240220065942
20240206,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2850,5.0,kg,100.0,g,N,20240221112510
20240207,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240222065940
20240208,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240223065943
20240213,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240228065936
20240214,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240229065935
20240215,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240301070020
20240216,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240302065953
20240219,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240305065952
20240220,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240306065941
20240221,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240307065956
20240222,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240308065948
20240223,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240309065947
20240226,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240312070022
20240227,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240313065944
20240228,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240314065945
20240229,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240318011344
20240304,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2410,5.0,kg,100.0,g,N,20240319070511
20240312,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240327070513
20240313,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240328070517
20240314,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240329070517
20240315,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240330070516
20240318,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240402070508
20240319,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240403070538
20240320,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240404070521
20240321,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240405070503
20240322,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240406070524
20240325,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240409070549
20240326,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240410070524
20240327,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240411070522
20240328,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240412070542
20240329,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240413070523
20240401,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240416070514
20240402,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240417070513
20240403,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2300,5.0,kg,100.0,g,N,20240418070530
20240516,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2780,5.0,kg,100.0,g,N,20240531070600
20240517,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2780,5.0,kg,100.0,g,N,20240601070544
20240520,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2780,5.0,kg,100.0,g,N,20240604020620
20240521,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2780,5.0,kg,100.0,g,N,20240605070543
20240522,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2780,5.0,kg,100.0,g,N,20240606070544
20240523,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2780,5.0,kg,100.0,g,N,20240607070559
20240524,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2780,5.0,kg,100.0,g,N,20240608070554
20240527,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2780,5.0,kg,100.0,g,N,20240611070557
20240528,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2780,5.0,kg,100.0,g,N,20240612070550
20240529,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2780,5.0,kg,100.0,g,N,20240613070605
20240530,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2720,5.0,kg,100.0,g,N,20240614070543
20240531,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2720,5.0,kg,100.0,g,N,20240615070558
20240603,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2720,5.0,kg,100.0,g,N,20240618070553
20240604,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2720,5.0,kg,100.0,g,N,20240619070544
20240607,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240622070550
20240610,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240625072132
20240611,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240626070553
20240612,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240627070548
20240613,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240628070549
20240614,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240629070612
20240617,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240702070604
20240618,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240703070603
20240619,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2660,5.0,kg,100.0,g,N,20240704070555
20240620,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240705070614
20240621,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240706070547
20240624,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240709070559
20240625,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240710070548
20240626,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240711070550
20240627,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240712070604
20240628,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240713070620
20240701,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240716070551
20240702,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240717070557
20240703,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240718070551
20240704,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240719070556
20240705,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240720070714
20240708,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240723120613
20240709,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240724070649
20240710,277,260001,신정,26,울산,2601,울산,425,체리,0,수입,1,소매,4,상품,2610,5.0,kg,100.0,g,N,20240725070606
