PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241114,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241129121603
20241115,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241202123051
20241118,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241203114550
20241119,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241204124556
20241120,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241205114603
20241121,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241209063105
20241122,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241209034714
20241125,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241210024617
20241126,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241211124610
20241127,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241212114550
20241128,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241213104553
20241129,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241216123040
20241202,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241217111607
20241203,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241218121554
20241204,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241219114626
20241205,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,4990,1.0,kg,N,20241224020109
20241209,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,4990,1.0,kg,N,20241224111605
20241210,68,230401,E-유통,23,인천,2300,인천,216,갓,0,갓,1,소매,4,상품,4990,1.0,kg,N,20241226013055
