PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,7590,12.0,kg,1.0,개,N,20240102062408
20231205,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,7590,12.0,kg,1.0,개,N,20240102062408
20231228,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240112065929
20231229,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240113065914
20240102,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240117065900
20240103,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240118065914
20240201,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240216065942
20240202,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240217065957
20240205,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240220065942
20240206,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240221112510
20240207,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240222065940
20240208,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240223065943
20240213,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240228065936
20240214,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240229065935
20240215,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240301070020
20240216,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240302065953
20240219,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240305065952
20240220,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240306065941
20240221,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240307065956
20240222,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240308065948
20240223,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240309065947
20240226,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240312070022
20240227,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240313065944
20240228,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240314065945
20240229,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240318011344
20240411,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240426070525
20240412,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240427070548
20240415,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240430070532
20240416,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240501070528
20240417,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240502070559
20240418,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240503070523
20240419,68,230401,E-유통,23,인천,2300,인천,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240504070522
