PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,67,230036,현대,23,인천,2300,인천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240102062408
20231205,67,230036,현대,23,인천,2300,인천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240102062408
20231206,67,230036,현대,23,인천,2300,인천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240102062408
20231207,67,230036,현대,23,인천,2300,인천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240102062408
20231208,67,230036,현대,23,인천,2300,인천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240102062408
20231211,67,230036,현대,23,인천,2300,인천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240102062408
20231212,67,230036,현대,23,인천,2300,인천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240102062408
20231213,67,230036,현대,23,인천,2300,인천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240102062408
20231214,67,230036,현대,23,인천,2300,인천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240102062408
20231215,67,230036,현대,23,인천,2300,인천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240102062408
