PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240313,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240328070517
20240314,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240329070517
20240315,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240330070516
20240318,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240402070508
20240319,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240403070538
20240320,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240404070521
20240321,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240405070503
20240514,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2670,5.0,kg,100.0,g,N,20240529070534
20240516,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2670,5.0,kg,100.0,g,N,20240531070600
20240517,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2670,5.0,kg,100.0,g,N,20240601070544
20240520,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2670,5.0,kg,100.0,g,N,20240604020620
20240521,67,230036,현대,23,인천,2300,인천,425,체리,0,수입,1,소매,4,상품,2670,5.0,kg,100.0,g,N,20240605070543
