PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241230,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250114110112
20241231,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250115110112
20250102,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250117103113
20250103,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250120124620
20250106,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250121104607
20250107,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250122104604
20250108,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250123104622
20250109,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250124104610
20250110,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250212043130
20250113,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250205060121
20250114,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250204061623
20250115,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250131014612
20250116,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250131113101
20250117,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250203040118
20250120,105,360401,A-유통,36,전남,3613,순천,642,마른미역,0,마른미역,1,소매,4,상품,4540,1.0,kg,100.0,g,Y,20250204113123
