PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240731,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240816010622
20240801,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240816104621
20240802,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240820011634
20240805,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240820104627
20240806,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240821114630
20240807,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240822104626
20240808,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240823104625
20240809,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240826010152
20240812,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240827104705
20240813,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240828114654
20240814,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20240829104636
20241031,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20241115104625
20241101,105,360401,A-유통,36,전남,3613,순천,421,오렌지,6,네이블 호주,1,소매,4,상품,14900,18.0,kg,10.0,개,N,20241118015923
