PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240709,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240724070649
20240710,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240725070606
20240711,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240726070603
20240712,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240730040122
20240715,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240730080622
20240716,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240731120707
20240717,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240801120632
20240718,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240802120654
20240719,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240805014641
20240722,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240806060616
20240723,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240807110629
20240724,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240808120630
20240725,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240809120625
20240726,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240812014658
20240729,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240813120632
20240730,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240814120651
20240731,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240816010622
20240801,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240816104621
20240802,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240820011634
20240805,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240820104627
20240806,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240821114630
20240807,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240822104626
20240808,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240823104625
20240809,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240826010152
20240812,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240827104705
20240813,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240828114654
20240814,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240829104636
20240816,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240902123055
20240819,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240903104602
20240820,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240904024615
20240821,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240905120057
20240822,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240906110101
20240823,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240909011534
20240826,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240910110037
20240827,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240911120047
20240828,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240912110028
20240829,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240913110049
20240830,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240919103028
20240902,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240919073113
20240903,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240919100018
20240904,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240920121525
20240905,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240920110108
20240906,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240924020040
20240909,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240924110028
20240910,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240925110046
20240911,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240926120046
20240912,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240927120023
20240913,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20240930011540
20240919,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241004110042
20240920,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241007011552
20240923,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241008120111
20240924,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241010011535
20240925,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241010110045
20240926,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241011110038
20240927,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241014123600
20240930,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241016011602
20241002,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241017110043
20241004,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241021011538
20241007,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241023013040
20241008,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241023110036
20241010,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241025110049
20241011,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241028010101
20241014,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241029110052
20241015,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241030110107
20241016,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241031020130
20241017,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241101110041
20241018,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241104024545
20241021,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241105110052
20241022,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241106030109
20241023,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241107110055
20241024,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241108110102
20241025,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241111090115
20241028,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241112110049
20241029,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241113110033
20241030,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241114120046
20241031,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241115104625
20241101,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241118015923
20241104,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241119111557
20241105,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241120111630
20241106,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241121111556
20241107,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241122111543
20241108,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,12500,17.0,kg,10.0,개,N,20241125020105
20241119,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,10000,17.0,kg,10.0,개,N,20241204124556
20241120,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,10000,17.0,kg,10.0,개,N,20241205114603
20241121,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,10000,17.0,kg,10.0,개,N,20241209063105
20241122,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,10000,17.0,kg,10.0,개,N,20241209034714
20241125,348,360402,역전,36,전남,3613,순천,424,레몬,0,수입,1,소매,4,상품,10000,17.0,kg,10.0,개,N,20241210024617
