PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240508,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240523070554
20240509,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240524070546
20240510,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240525070546
20240522,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240606070544
20240523,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240607070559
20240524,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240608070554
20240527,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240611070557
20240528,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240612070550
20240529,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240613070605
20240530,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240614070543
20240531,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240615070558
20240603,102,350401,C-유통,35,전북,3511,전주,660,건다시마,1,완도산,1,소매,4,상품,2850,1.0,kg,100.0,g,N,20240618070553
