PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240712,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240730040122
20240715,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240730080622
20240716,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240731120707
20240717,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240801120632
20240718,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240802120654
20240719,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240805014641
20240729,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240813120632
20240730,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240814120651
20240731,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240816010622
20240801,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240816104621
20240805,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20240820104627
20240806,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20240821114630
20240807,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20240822104626
20240808,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20240823104625
20240814,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,Y,20240829104636
20240920,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241007011552
20240923,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241008120111
20240924,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241010011535
20240925,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241010110045
20240926,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241011110038
20240927,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,Y,20241014123600
20240930,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,Y,20241016011602
20241002,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,Y,20241017110043
20241004,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,Y,20241021011538
20241011,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241028010101
20241014,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241029110052
20241015,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241030110107
20241016,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241031020130
20241017,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241101110041
20241129,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,1990,8.0,kg,1.0,포기,1.0,포기,Y,20241216123040
20241202,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,1990,8.0,kg,1.0,포기,1.0,포기,Y,20241217111607
20241203,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,1990,8.0,kg,1.0,포기,1.0,포기,Y,20241218121554
20241204,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,1990,8.0,kg,1.0,포기,1.0,포기,Y,20241219114626
20241205,102,350401,C-유통,35,전북,3511,전주,212,양배추,0,양배추,1,소매,4,상품,1990,8.0,kg,1.0,포기,1.0,포기,Y,20241224020109
