PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231215,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,8900,10.0,kg,10.0,개,Y,20240102062408
20231218,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,8900,10.0,kg,10.0,개,Y,20240102062408
20231219,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,8900,10.0,kg,10.0,개,Y,20240103065948
20231220,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,8900,10.0,kg,10.0,개,Y,20240104065906
20231221,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,8900,10.0,kg,10.0,개,Y,20240105065912
20231222,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240106065856
20231226,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240110065931
20231227,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240111065935
20231228,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240112065929
20231229,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240113065914
20240102,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240117065900
20240103,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240118065914
20240104,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240119065906
20240105,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240120065927
20240108,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240123065913
20240109,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240124065912
20240110,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240125065917
20240111,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240126065910
20240115,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240130065928
20240116,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240131065939
20240117,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240201065942
20240118,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240202065931
20240119,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240203065943
20240122,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240206065935
20240123,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240207065925
20240124,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240208065918
20240125,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240209065927
20240213,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240228065936
20240214,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240229065935
20240215,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240301070020
20240216,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240302065953
20240219,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240305065952
20240220,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240306065941
20240221,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240307065956
20240222,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240308065948
20240223,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240309065947
20240226,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240312070022
20240227,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240313065944
20240228,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240314065945
20240229,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240318011344
20240304,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240319070511
20240305,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240320070501
20240306,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240321070453
20240307,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240322070436
20240308,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240323070536
20240311,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240326070457
20240312,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240327070513
20240313,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240328070517
20240314,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240329070517
20240315,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240330070516
20240318,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240402070508
20240319,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240403070538
20240320,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240404070521
20240321,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240405070503
20240322,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240406070524
20240325,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240409070549
20240326,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240410070524
20240327,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240411070522
20240328,102,350401,C-유통,35,전북,3511,전주,419,참다래,1,국산,1,소매,4,상품,10660,10.0,kg,10.0,개,N,20240412070542
20240618,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240703070603
20240619,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240704070555
20240620,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240705070614
20240621,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240706070547
20240624,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240709070559
20240625,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240710070548
20240626,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240711070550
20240627,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240712070604
20240628,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240713070620
20240701,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240716070551
20240702,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240717070557
20240703,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240718070551
20240704,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240719070556
20240705,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240720070714
20240708,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240723120613
20240709,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240724070649
20240710,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240725070606
20240711,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240726070603
20240712,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240730040122
20240715,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240730080622
20240716,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240731120707
20240717,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240801120632
20240718,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240802120654
20240719,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240805014641
20240722,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240806060616
20240723,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240807110629
20240724,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240808120630
20240725,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240809120625
20240726,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240812014658
20240729,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240813120632
20240730,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240814120651
20240731,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240816010622
20240801,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240816104621
20240802,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240820011634
20240805,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240820104627
20240806,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240821114630
20240807,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240822104626
20240808,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240823104625
20240809,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240826010152
20240812,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240827104705
20240813,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240828114654
20240814,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240829104636
20240816,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240902123055
20240819,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240903104602
20240820,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240904024615
20240821,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240905120057
20240822,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240906110101
20240823,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240909011534
20240826,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240910110037
20240827,102,350401,C-유통,35,전북,3511,전주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9810,10.0,kg,10.0,개,N,20240911120047
