PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12500,8.0,kg,1.0,개,N,20240102062408
20231205,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240102062408
20231206,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240102062408
20231207,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240102062408
20231208,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240102062408
20231211,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240102062408
20231212,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12000,8.0,kg,1.0,개,N,20240102062408
20231213,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12000,8.0,kg,1.0,개,N,20240102062408
20231214,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12000,8.0,kg,1.0,개,N,20240102062408
20231215,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12000,8.0,kg,1.0,개,N,20240102062408
20231218,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12000,8.0,kg,1.0,개,N,20240102062408
20231219,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12000,8.0,kg,1.0,개,N,20240103065948
20231220,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12000,8.0,kg,1.0,개,N,20240104065906
20231221,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12000,8.0,kg,1.0,개,N,20240105065912
20231222,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12600,8.0,kg,1.0,개,N,20240106065856
20231226,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12600,8.0,kg,1.0,개,N,20240110065931
20231227,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,12600,8.0,kg,1.0,개,N,20240111065935
20231228,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240112065929
20231229,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240113065914
20240102,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240117065900
20240103,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240118065914
20240104,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240119065906
20240105,101,350001,남부,35,전북,3511,전주,257,멜론,0,멜론,1,소매,4,상품,13000,8.0,kg,1.0,개,N,20240120065927
