PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240116,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240131065939
20240117,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240201065942
20240118,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240202065931
20240119,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240203065943
20240122,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240206065935
20240123,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240207065925
20240124,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240208065918
20240125,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2500,5.0,kg,100.0,g,N,20240209065927
20240126,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240210065928
20240129,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240213065937
20240130,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240214065934
20240131,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240215065950
20240201,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240216065942
20240202,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240217065957
20240205,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240220065942
20240206,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240221112510
20240207,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240222065940
20240208,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240223065943
20240213,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2250,5.0,kg,100.0,g,N,20240228065936
20240214,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240229065935
20240215,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240301070020
20240216,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240302065953
20240219,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240305065952
20240220,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240306065941
20240221,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240307065956
20240222,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240308065948
20240223,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240309065947
20240226,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240312070022
20240227,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240313065944
20240228,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240314065945
20240229,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240318011344
20240304,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240319070511
20240305,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240320070501
20240306,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240321070453
20240307,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2400,5.0,kg,100.0,g,N,20240322070436
20240308,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240323070536
20240311,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240326070457
20240312,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240327070513
20240313,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240328070517
20240314,101,350001,남부,35,전북,3511,전주,425,체리,0,수입,1,소매,4,상품,2350,5.0,kg,100.0,g,N,20240329070517
