PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,8110,1.0,kg,N,20240102062408
20231205,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,8110,1.0,kg,N,20240102062408
20231206,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,8110,1.0,kg,N,20240102062408
20231207,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,7480,1.0,kg,N,20240102062408
20231208,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,7480,1.0,kg,N,20240102062408
20231211,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,7480,1.0,kg,N,20240102062408
20231212,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,7480,1.0,kg,N,20240102062408
20231213,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,7480,1.0,kg,N,20240102062408
20231214,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,7480,1.0,kg,N,20240102062408
20241111,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,3120,1.0,kg,Y,20241126111557
20241112,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,3120,1.0,kg,Y,20241127111600
20241113,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,3120,1.0,kg,Y,20241128111608
20241114,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,4980,1.0,kg,N,20241129121603
20241115,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241202123051
20241118,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241203114550
20241119,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241204124556
20241120,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241205114603
20241121,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241209063105
20241122,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241209034714
20241125,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241210024617
20241126,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241211124610
20241127,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241212114550
20241128,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241213104553
20241129,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241216123040
20241202,763,390403,E-蜡烹,39,力林,3911,力林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241217111607
