PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240812,763,390403,E-유통,39,제주,3911,제주,241,건고추,1,햇산화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,Y,20240827104705
20240813,763,390403,E-유통,39,제주,3911,제주,241,건고추,1,햇산화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,Y,20240828114654
20240814,763,390403,E-유통,39,제주,3911,제주,241,건고추,1,햇산화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,Y,20240829104636
20240926,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241011110038
20240927,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241014123600
20240930,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241016011602
20241002,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241017110043
20241004,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241021011538
20241007,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241023013040
20241008,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241023110036
20241010,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241025110049
20241011,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241028010101
20241014,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241029110052
20241015,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241030110107
20241016,763,390403,E-유통,39,제주,3911,제주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20241031020130
