PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
20231205,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
20231206,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
20231207,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
20231208,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
20231211,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
20231212,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
20231213,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
20231214,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
20231215,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
20231218,763,390403,E-유통,39,제주,3911,제주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240102062408
