PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240621,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240706070547
20240624,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240709070559
20240625,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240710070548
20240626,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240711070550
20240627,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240712070604
20240628,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240713070620
20240701,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240716070551
20240702,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240717070557
20240703,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240718070551
20240704,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240719070556
20240705,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240720070714
20240708,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240723120613
20240709,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240724070649
20240710,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240725070606
20240711,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240726070603
20240712,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240730040122
20240715,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240730080622
20240716,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240731120707
20240717,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240801120632
20240718,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240802120654
20240719,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240805014641
20240722,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240806060616
20240723,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240807110629
20240724,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240808120630
20240725,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240809120625
20240726,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240812014658
20240729,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240813120632
20240730,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240814120651
20240731,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240816010622
20240801,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240816104621
20240802,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240820011634
20240805,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240820104627
20240806,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240821114630
20240807,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240822104626
20240808,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240823104625
20240809,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240826010152
20240812,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240827104705
20240813,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240828114654
20240814,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240829104636
20240816,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240902123055
20240819,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240903104602
20240820,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240904024615
20240821,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240905120057
20240822,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240906110101
20240823,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240909011534
20240826,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240910110037
20240827,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240911120047
20240828,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240912110028
20240829,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240913110049
20240830,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240919103028
20240902,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,8000,8.0,kg,1.0,개,N,20240919073113
20240903,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240919100018
20240904,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240920121525
20240905,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240920110108
20240906,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240924020040
20240909,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240924110028
20240910,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240925110046
20240911,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240926120046
20240912,278,390001,동문,39,제주,3911,제주,257,멜론,0,멜론,1,소매,4,상품,10000,8.0,kg,1.0,개,N,20240927120023
