PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240712,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240730040122
20240717,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240801120632
20240718,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240802120654
20240726,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240812014658
20240729,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240813120632
20240730,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240814120651
20240731,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240816010622
20240801,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240816104621
20240805,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240820104627
20240806,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240821114630
20240807,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240822104626
20240808,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240823104625
20240809,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2480,8.0,kg,1.0,포기,1.0,포기,Y,20240826010152
20240912,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20240927120023
20240919,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2480,8.0,kg,1.0,포기,1.0,포기,N,20241004110042
20240920,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241007011552
20240923,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241008120111
20240924,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241010011535
20240925,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241010110045
20240926,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241011110038
20240927,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241014123600
20240930,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241016011602
20241002,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241017110043
20241004,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241021011538
20241007,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241023013040
20241008,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241023110036
20241010,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241025110049
20241011,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241028010101
20241014,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241029110052
20241015,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241030110107
20241016,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241031020130
20241017,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241101110041
20241018,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241104024545
20241021,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241105110052
20241022,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241106030109
20241023,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241107110055
20241024,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241108110102
20241025,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241111090115
20241028,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241112110049
20241029,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241113110033
20241030,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241114120046
20241031,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241115104625
20241101,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241118015923
20241104,752,340401,C-유통,34,충남,3411,천안,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241119111557
