PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240326,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,24750,10.0,kg,10.0,개,10.0,개,Y,20240410070524
20240327,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,24750,10.0,kg,10.0,개,10.0,개,Y,20240411070522
20240328,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240412070542
20240329,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240413070523
20240401,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240416070514
20240402,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240417070513
20240403,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240418070530
20240404,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240419070512
20240405,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240420070512
20240408,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240423070541
20240409,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240424070521
20240411,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240426070525
20240412,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240427070548
20240415,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240430070532
20240416,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240501070528
20240417,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,32450,10.0,kg,10.0,개,10.0,개,Y,20240502070559
20240418,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,29950,10.0,kg,10.0,개,10.0,개,Y,20240503070523
20240419,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,29950,10.0,kg,10.0,개,10.0,개,Y,20240504070522
20240422,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,24950,10.0,kg,10.0,개,10.0,개,Y,20240507070525
20240423,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,29950,10.0,kg,10.0,개,10.0,개,Y,20240508070624
20240424,98,330401,B-유통,33,충북,3311,청주,222,참외,0,참외,1,소매,4,상품,29950,10.0,kg,10.0,개,10.0,개,Y,20240509070535
