PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,6000,1.0,kg,N,20240102062408
20231205,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,7000,1.0,kg,N,20240102062408
20231206,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,7000,1.0,kg,N,20240102062408
20231207,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,8000,1.0,kg,N,20240102062408
20231208,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,6830,1.0,kg,N,20240102062408
20231211,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,6830,1.0,kg,N,20240102062408
20231212,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,6830,1.0,kg,N,20240102062408
20231213,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,6830,1.0,kg,N,20240102062408
20231214,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,6000,1.0,kg,N,20240102062408
20231215,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,5660,1.0,kg,N,20240102062408
20231218,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,5660,1.0,kg,N,20240102062408
20231219,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,5660,1.0,kg,N,20240103065948
20231220,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,5660,1.0,kg,N,20240104065906
20241029,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,3330,1.0,kg,N,20241113110033
20241030,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,3330,1.0,kg,N,20241114120046
20241031,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,3160,1.0,kg,N,20241115104625
20241101,97,330001,腊芭府,33,面合,3311,没林,216,矮,0,矮,1,家概,4,惑前,3000,1.0,kg,N,20241118015923
